seed,scope,metric,actual,expected,delta,passed
0,run,K_supra,13.0,10.0,3.0,False
0,run,ARI_all_supra,0.45349215671565724,0.4616639704361159,-0.008171813720458665,False
0,run,NMI_all_supra,0.5873910678631652,0.6395130661682802,-0.05212199830511499,False
0,run,ARI_Dec2024,0.7364737312917007,0.7821631099393687,-0.04568937864766798,False
0,run,NMI_Dec2024,0.7572197472434098,0.7519999816427068,0.00521976560070303,False
0,BE,K_Dec2024,9.0,8.0,1.0,False
0,BE,BE_cross_coassignment,0.2435813034891376,0.0913978494623656,0.152183454026772,False
0,BE,B_within_pair_coassignment,0.6263412581527457,1.0,-0.37365874184725434,False
0,BE,E_within_pair_coassignment,0.989247311827957,0.8330136588201105,0.15623365300784653,False
0,A,n,141.0,141.0,0.0,True
0,A,best_destination_share,0.9361702127659575,0.950354609929078,-0.014184397163120588,False
0,A,within_pair_coassignment,0.8770010131712259,0.903951367781155,-0.026950354609929117,False
0,A,n_destinations,4.0,3.0,1.0,False
0,B,n,98.0,98.0,0.0,True
0,B,best_destination_share,0.7551020408163265,1.0,-0.24489795918367352,False
0,B,within_pair_coassignment,0.6263412581527457,1.0,-0.37365874184725434,False
0,B,n_destinations,2.0,1.0,1.0,False
0,C,n,29.0,29.0,0.0,True
0,C,best_destination_share,0.9310344827586207,0.5862068965517241,0.3448275862068966,False
0,C,within_pair_coassignment,0.8669950738916257,0.4088669950738916,0.45812807881773404,False
0,C,n_destinations,2.0,4.0,-2.0,False
0,D,n,153.0,153.0,0.0,True
0,D,best_destination_share,0.9803921568627451,0.9673202614379084,0.013071895424836666,False
0,D,within_pair_coassignment,0.9613003095975232,0.936016511867905,0.025283797729618196,False
0,D,n_destinations,2.0,3.0,-1.0,False
0,E,n,186.0,186.0,0.0,True
0,E,best_destination_share,0.9946236559139785,0.9086021505376344,0.08602150537634412,False
0,E,within_pair_coassignment,0.989247311827957,0.8330136588201105,0.15623365300784653,False
0,E,n_destinations,2.0,2.0,0.0,True
0,F,n,327.0,327.0,0.0,True
0,F,best_destination_share,0.9602446483180428,0.6269113149847095,0.33333333333333326,False
0,F,within_pair_coassignment,0.9223091499221403,0.4496350912740849,0.4726740586480554,False
0,F,n_destinations,5.0,5.0,0.0,True
0,G,n,965.0,965.0,0.0,True
0,G,best_destination_share,0.894300518134715,0.938860103626943,-0.04455958549222805,False
0,G,within_pair_coassignment,0.810532539290091,0.8847118010018704,-0.07417926171177947,False
0,G,n_destinations,3.0,4.0,-1.0,False
