K,SW,CHn,S_Dbw,AVI,AVU,ANUI,MQ,alpha,structure_weight,level_weight,edges,mean_degree,isolates_before_fallback,components_after_fallback,avg_clustering,ARI_vs_70,NMI_vs_70
9,0.18379033012137902,0.5861500607866873,0.5489124793760968,0.9136940533769362,0.5427154058072456,0.6108087513539062,0.7791582263318052,0.5,0.5,0.5,11966,12.569327731092438,8,1,0.40200623728458235,0.6487459260158818,0.7563585134616028
9,0.16964528233789158,0.4596719066993631,0.6315311638606655,0.9074499787168073,0.5062908676778484,0.6217822829688482,0.7674484517761571,0.7,0.7,0.3,11787,12.381302521008404,12,1,0.3864090816004825,1.0,1.0
13,0.1616069965059761,0.28721214228790737,0.46815959798879053,0.9266606975513932,0.3090853895210168,0.7203422326834817,0.7649473614919716,0.9,0.9,0.1,11733,12.324579831932773,10,5,0.3846139727884125,0.5361057705180077,0.6713046413412013
