alpha,supra_K,dec_K,full_ARI_vs_70,full_NMI_vs_70,mean_monthly_ARI_vs_70,min_monthly_ARI_vs_70,mean_monthly_NMI_vs_70,dec_ARI_vs_70,dec_NMI_vs_70,mean_adjacent_ARI,mean_adjacent_NMI,mean_switches,median_switches,share_zero_switch,share_le2_switch
0.5,11,8,0.5555937289171686,0.6455154374329606,0.5876245857815535,0.40435289530735746,0.6797694268782921,0.7366440599486769,0.7310539041430701,0.8693139813618298,0.8844783309001143,1.4627100840336134,1.0,0.2505252100840336,0.8287815126050421
0.7,12,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8779039416435567,0.8897285713038698,1.3387605042016806,1.0,0.25,0.8529411764705882
0.9,13,9,0.47946005514868306,0.6120447737922271,0.5591041829917072,0.38080009174176577,0.6476641630624458,0.7362617022344552,0.6937045911975521,0.8431800952576296,0.8702410268864027,1.838235294117647,2.0,0.17699579831932774,0.7657563025210085
