alpha,K,SW,CHn,S_Dbw,AVI,AVU,ANUI,MQ,edges,components_after_fallback,ARI_vs_70,NMI_vs_70,supra_K,dec_K,full_ARI_vs_70,full_NMI_vs_70,mean_monthly_ARI_vs_70,min_monthly_ARI_vs_70,mean_monthly_NMI_vs_70,dec_ARI_vs_70,dec_NMI_vs_70,mean_adjacent_ARI,mean_adjacent_NMI,mean_switches,median_switches,share_zero_switch,share_le2_switch,K_temporal_mean,SW_temporal_mean,CHn_temporal_mean,S_Dbw_temporal_mean,AVI_temporal_mean,AVU_temporal_mean,ANUI_temporal_mean,MQ_temporal_mean,edges_temporal_mean,isolates
0.5,9,0.18379033012137902,0.5861500607866873,0.5489124793760968,0.9136940533769362,0.5427154058072456,0.6108087513539062,0.7791582263318052,11966,1,0.6487459260158818,0.7563585134616028,11,8,0.5555937289171686,0.6455154374329606,0.5876245857815535,0.40435289530735746,0.6797694268782921,0.7366440599486769,0.7310539041430701,0.8693139813618298,0.8844783309001143,1.4627100840336134,1.0,0.2505252100840336,0.8287815126050421,8.875,0.13253136630082932,0.4088544986114087,0.5979086995232145,0.8098897378910607,0.45618827781623095,0.5908697071596645,0.6730795921114567,11926.083333333334,11.791666666666666
0.7,9,0.16964528233789158,0.4596719066993631,0.6315311638606655,0.9074499787168073,0.5062908676778484,0.6217822829688482,0.7674484517761571,11787,1,1.0,1.0,12,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8779039416435567,0.8897285713038698,1.3387605042016806,1.0,0.25,0.8529411764705882,10.0,0.12415159824791754,0.28587900773659675,0.5885913223380108,0.7974422749297378,0.40732581953230823,0.5993946040190966,0.666427198908013,11796.666666666666,11.958333333333334
0.9,13,0.1616069965059761,0.28721214228790737,0.46815959798879053,0.9266606975513932,0.3090853895210168,0.7203422326834817,0.7649473614919716,11733,5,0.5361057705180077,0.6713046413412013,13,9,0.47946005514868306,0.6120447737922271,0.5591041829917072,0.38080009174176577,0.6476641630624458,0.7362617022344552,0.6937045911975521,0.8431800952576296,0.8702410268864027,1.838235294117647,2.0,0.17699579831932774,0.7657563025210085,9.791666666666666,0.10571130782125793,0.23996271102548553,0.5845397131041173,0.7743343020964134,0.37994761579058994,0.5984262932770307,0.645982033226464,11679.833333333334,11.875
