month,ARI,NMI,K,adjacent_ARI,adjacent_NMI,same_label_share
2023-01-01,0.42641576637529255,0.5871386173591076,6,,,
2023-02-01,0.4284200061405008,0.5916975707817808,6,0.9834118201003395,0.9705343423495874,0.9947478991596639
2023-03-01,0.44795275240855886,0.6006258367970009,6,0.9704353986060591,0.9411994487332657,0.9889705882352942
2023-04-01,0.48631370627828036,0.608956916463644,6,0.9215130810029065,0.8878228906081626,0.9732142857142857
2023-05-01,0.5013729726542906,0.6122718076558299,7,0.979683924351448,0.9583510376226805,0.9921218487394958
2023-06-01,0.508443960452792,0.6248138873249905,8,0.9258611300046409,0.8806142579445116,0.9548319327731093
2023-07-01,0.49350368792461236,0.6362116203192438,8,0.9414351538587602,0.8973113729850309,0.967436974789916
2023-08-01,0.482109645305474,0.6512061024480117,10,0.8825029263966995,0.8589428100683005,0.9285714285714286
2023-09-01,0.49022053621259887,0.6498756605796817,10,0.8322687231044179,0.8555336435221833,0.9296218487394958
2023-10-01,0.5248957281039368,0.6771662071201265,10,0.62207425718542,0.7804068271637302,0.6055672268907563
2023-11-01,0.5307342785845934,0.6790251098621546,9,0.6910873970414626,0.8197189620571051,0.8387605042016807
2023-12-01,0.5213156997794294,0.6984093649965678,9,0.9587473524155643,0.9242647881688911,0.9684873949579832
2024-01-01,0.42329604993149933,0.6285850703622158,9,0.9231181071070804,0.8782870673475996,0.930672268907563
2024-02-01,0.42420731958438596,0.6145050508103473,8,0.9364585970741975,0.9080635721500867,0.9527310924369747
2024-03-01,0.4743904123228849,0.6173770801919264,8,0.9559131057212059,0.9430071412599124,0.9837184873949579
2024-04-01,0.5629055098453327,0.6160172387851347,11,0.7768760493963777,0.8128249133232751,0.845063025210084
2024-05-01,0.6145256313494709,0.6566823590922626,12,0.7593619739404215,0.7380157485554151,0.7794117647058824
2024-06-01,0.5789534321142742,0.6477254188864715,11,0.8482278285778271,0.849592005791318,0.9012605042016807
2024-07-01,0.4871879039516748,0.6470733005836764,11,0.7463575640575649,0.8339450989777577,0.8970588235294118
2024-08-01,0.7614652478223928,0.7313580897112645,10,0.5832402983862193,0.7888876089389014,0.6790966386554622
2024-09-01,0.7416915974852792,0.7412401464773308,10,0.9405550480329121,0.918002751883607,0.976890756302521
2024-10-01,0.720001448023246,0.7403679657075075,10,0.978002314264076,0.9516504380521446,0.990546218487395
2024-11-01,0.7103561273635497,0.7337523992899363,10,0.9888867898137773,0.9768710467662073,0.9957983193277311
2024-12-01,0.707549918439585,0.7314984263683528,10,0.9787436383222047,0.9542002368347581,0.9910714285714286
