algorithm,ARI_all_supra,NMI_all_supra,ARI_Dec2024,NMI_Dec2024,K_supra,K_Dec2024,mean_switches,median_switches,share_zero_switches,share_le2_switches,mean_adjacent_ARI,mean_adjacent_NMI,K,MQ,Q_resolution_0_5,AVI,AVU
louvain,1.0,1.0,1.0,1.0,12.0,10.0,1.3387605042016806,1.0,0.25,0.8529411764705882,0.8779039416435567,0.8897285713038698,12.0,0.7751866057471232,0.8415480922636267,0.8853761297749402,0.4240885535010346
leiden,0.4402889106380918,0.5950315229649081,0.707549918439585,0.7314984263683528,14.0,10.0,1.9343487394957983,2.0,0.05042016806722689,0.8224789915966386,0.8749896729896338,0.8838281743958447,14.0,0.8108139963108658,0.8787439905056597,0.9292306286930441,0.358164993134858
