archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations
A,141,4,140,135,0.9574468085106383,0.9642857142857143,0.9246575342465754,0.9171225937183384,3
B,98,5,283,98,1.0,0.3462897526501767,0.3462897526501767,1.0,1
C,29,9,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3
D,153,7,318,151,0.9869281045751634,0.4748427672955975,0.471875,0.9740282077743379,2
E,186,5,283,183,0.9838709677419355,0.6466431095406361,0.6398601398601399,0.9679744260389421,3
F,327,7,318,162,0.4954128440366973,0.5094339622641509,0.33540372670807456,0.48642614585092214,3
G,965,2,1140,964,0.9989637305699481,0.8456140350877193,0.8448729184925504,0.9979274611398964,2
