algorithm,SW,CHn,MQ,AVI,AVU
leiden,0.09123470618086436,0.26319542953206293,0.6166782551532164,0.6315814163618468,0.3161339559288007
louvain,0.12415159824791754,0.28587900773659675,0.666427198908013,0.704874612021154,0.40732581953230823
