month,algorithm,K,MQ,Q_resolution_0_5,AVI,AVU,S_Dbw,S_Dbw_status,SW,CHn
2023-01-01,louvain,8,0.6980225229398279,0.8069559975087491,0.8786322040173347,0.4799814724358845,,undefined_zero_density_denominator,0.18049241442277472,0.3246204967187835
2023-01-01,leiden,6,0.5360546497868304,0.7564166890412486,0.7712374324492829,0.3569967995605536,,undefined_zero_density_denominator,0.09734326025935265,0.28927814112026745
2023-02-01,louvain,8,0.7033671300869868,0.8114340245137499,0.8909908904573016,0.4785569170845678,,undefined_zero_density_denominator,0.18887592979242268,0.3371728147296479
2023-02-01,leiden,6,0.5361272802720604,0.7552069529707902,0.7762950113948898,0.35330129260253534,,undefined_zero_density_denominator,0.05325945533088722,0.2999973042641094
2023-03-01,louvain,8,0.6807453003123326,0.7890357766931783,0.8595467001149322,0.4708309503375965,,undefined_zero_density_denominator,0.18238730135418016,0.3393305547338458
2023-03-01,leiden,6,0.5393922721770633,0.7577481925656288,0.7596028030014906,0.357613959317127,,undefined_zero_density_denominator,0.1086842368400504,0.30750568088259445
2023-04-01,louvain,8,0.6926380976749074,0.8040478450964843,0.8837912963291736,0.48224700862292313,,undefined_zero_density_denominator,0.1708684192652025,0.34620422704306786
2023-04-01,leiden,6,0.5518783601604227,0.7627239948218418,0.7706863399218666,0.35995261076872137,,undefined_zero_density_denominator,0.11576072254048612,0.3163040420186932
2023-05-01,louvain,8,0.6916401491160484,0.8061820507317833,0.891113373694514,0.5010995249210262,,undefined_zero_density_denominator,0.16906091443064283,0.3414668503383467
2023-05-01,leiden,7,0.5470748947067984,0.7603083073238144,0.6624623408204833,0.31301059871598064,,undefined_zero_density_denominator,0.005521721845159128,0.26137319304351286
2023-06-01,louvain,9,0.6849570250267252,0.7941973504495488,0.7845621858577088,0.45502402237648654,,undefined_zero_density_denominator,0.12373750829973337,0.2949690363725885
2023-06-01,leiden,8,0.5672512888484748,0.7664123311940351,0.681259221682287,0.28981386327272246,,undefined_zero_density_denominator,0.10764228544277524,0.2357394194395637
2023-07-01,louvain,9,0.6940568949774354,0.7960864692479671,0.7914983486408668,0.4526867443051463,,undefined_zero_density_denominator,0.11617791905790315,0.2957458000237379
2023-07-01,leiden,8,0.5752251431681095,0.7707469480545694,0.686967430128629,0.29894981105561047,,undefined_zero_density_denominator,0.1119389765110555,0.23492436396623811
2023-08-01,louvain,10,0.6995754516757454,0.7915664010637771,0.7092781881874346,0.40295028238792974,,undefined_zero_density_denominator,0.10277351910844007,0.27051191470193153
2023-08-01,leiden,10,0.6227396833737537,0.7909452589999322,0.6520909896015199,0.37138314872334294,,undefined_zero_density_denominator,0.10995956231094353,0.2080484297322214
2023-09-01,louvain,10,0.7098785566023706,0.7968146961495115,0.7057212196068147,0.39735398968375074,,undefined_zero_density_denominator,0.13514230710798175,0.28587160417847035
2023-09-01,leiden,10,0.6561143244048876,0.8024972264317182,0.6448627468295529,0.34753404224575324,,undefined_zero_density_denominator,0.16336590202617762,0.2362565694190686
2023-10-01,louvain,11,0.7194490100867782,0.8039878861082601,0.6371247447998564,0.3610780754479526,,undefined_zero_density_denominator,0.0634724484415019,0.26841134984899867
2023-10-01,leiden,10,0.7234460045005341,0.8200052720006544,0.7292497899511236,0.4122883641058352,,undefined_zero_density_denominator,0.10129088816629264,0.27792486954948215
2023-11-01,louvain,11,0.7040899713194659,0.7873012169376713,0.6450597134785345,0.3766026989655868,,undefined_zero_density_denominator,0.07608061156699597,0.2867760404005963
2023-11-01,leiden,9,0.6634695701361726,0.801633440911212,0.7183884610616601,0.4126462323351916,,undefined_zero_density_denominator,0.17122509949566048,0.27850765613980394
2023-12-01,louvain,11,0.6998227459371025,0.77549289284841,0.6642429110975432,0.42624630087554377,,undefined_zero_density_denominator,0.07333207650686026,0.2978767088230565
2023-12-01,leiden,9,0.6786473303067745,0.8123122476732868,0.7210152489428521,0.3984645630876132,,undefined_zero_density_denominator,0.15450249492023788,0.2728807948582217
2024-01-01,louvain,12,0.6722347231445595,0.7422246515641603,0.6121901929313615,0.3780289997830673,,undefined_zero_density_denominator,0.08489063924987605,0.281362737581308
2024-01-01,leiden,9,0.6579771750172342,0.7991932709672775,0.6988924124965981,0.43550425028317846,,undefined_zero_density_denominator,0.1477818780032469,0.2820041018658338
2024-02-01,louvain,12,0.6629888954291215,0.7408731892631609,0.6026662715563017,0.36276107881209047,,undefined_zero_density_denominator,0.0648750611570627,0.2534560497677199
2024-02-01,leiden,8,0.6616083001710142,0.8060611230879655,0.6921738011509386,0.32036510253837863,,undefined_zero_density_denominator,0.16677570597164082,0.32715734510225397
2024-03-01,louvain,12,0.678449607652522,0.7741987045764008,0.6365223746349392,0.3629282585007192,,undefined_zero_density_denominator,0.04479785894165398,0.23264385621709055
2024-03-01,leiden,8,0.6676242107521455,0.8092391949801206,0.6882569551656573,0.3370666170550529,,undefined_zero_density_denominator,0.1546991106657636,0.32762884231603157
2024-04-01,louvain,12,0.6155326918089948,0.7388845803137323,0.5546875799594086,0.3810589454468727,,undefined_zero_density_denominator,0.02118837396393414,0.22162043025684244
2024-04-01,leiden,11,0.7093083215721644,0.8183519719528861,0.6436247907479035,0.32795904860791436,,undefined_zero_density_denominator,0.09308911742864352,0.28391612128150295
2024-05-01,louvain,11,0.6063871608544988,0.7553586166095498,0.5868230837303322,0.41488783200338375,,undefined_zero_density_denominator,-0.00289169444788918,0.22548106903775436
2024-05-01,leiden,12,0.6830599779086035,0.8068377059552206,0.5247166064010339,0.2753995923496073,,undefined_zero_density_denominator,0.06726199661750608,0.2406558330552611
2024-06-01,louvain,10,0.5965862535943507,0.7516615030672825,0.6475013378412845,0.40873678766591803,,undefined_zero_density_denominator,0.11782350042470177,0.2686927858639899
2024-06-01,leiden,11,0.6765378408935434,0.8081331289345431,0.4904044571569885,0.24874051492414975,,undefined_zero_density_denominator,0.07639772829288369,0.26022954978554985
2024-07-01,louvain,10,0.6186530441560982,0.7746058906266153,0.6760495266822992,0.3889507986321,,undefined_zero_density_denominator,0.16185029264743542,0.27338791114818994
2024-07-01,leiden,11,0.6868893648967809,0.8044284519153659,0.4967840336186187,0.2430937513761816,,undefined_zero_density_denominator,0.07193188620928351,0.23012274197429958
2024-08-01,louvain,10,0.6346925637354589,0.7876636621949097,0.7042010598965044,0.3766422663261605,,undefined_zero_density_denominator,0.1792724425846627,0.2914155082437163
2024-08-01,leiden,10,0.5810869529038286,0.775563420659636,0.4708391065705168,0.22126304198160004,,undefined_zero_density_denominator,0.08109440627734066,0.23752890492812162
2024-09-01,louvain,10,0.6296301179305043,0.7850284908783879,0.6586697107446781,0.3539266742537587,,undefined_zero_density_denominator,0.1871922390444937,0.2867929383569422
2024-09-01,leiden,10,0.5698890856701134,0.770077046686108,0.46708052454566384,0.22906313623658514,,undefined_zero_density_denominator,0.03476790011641667,0.23477096120983254
2024-10-01,louvain,10,0.6318731419710795,0.7851463186170247,0.6319324086724956,0.3578432992824869,,undefined_zero_density_denominator,0.18386791487122794,0.28539520676279323
2024-10-01,leiden,10,0.5716317304694227,0.7727787068379076,0.47211053309836915,0.22332616091968305,,undefined_zero_density_denominator,0.03723506763926184,0.22878212224615097
2024-11-01,louvain,10,0.6313092117791769,0.7851333821984513,0.6323151578919287,0.3492008373524143,,undefined_zero_density_denominator,0.1820011209126904,0.28036704824477243
2024-11-01,leiden,10,0.5663298516975197,0.7694405569579057,0.46914604167787105,0.22799605004739637,,undefined_zero_density_denominator,0.020608978542977403,0.22656844141707386
2024-12-01,louvain,10,0.637672505980221,0.7882407295230308,0.6318702076841455,0.35619590327203193,,undefined_zero_density_denominator,0.17236923924553174,0.2715232462841306
2024-12-01,leiden,10,0.5709145098829405,0.7715043235771119,0.46980691426852844,0.22548239018050217,,undefined_zero_density_denominator,-0.06250543311329834,0.21858487915382102
