metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
ARI,24,0.5436762224355807,0.5049084665535413,0.1080384020980706,0.42329604993149933,0.7614652478223928,0.42453858660302196,0.42701703830485505,0.48017983705982675,0.5878464819230733,0.7171078518253371,0.7384380750659743
NMI,24,0.6551492186656069,0.647399359735074,0.05011842161951438,0.5871386173591076,0.7412401464773308,0.5930368106840638,0.6031251606969938,0.6156391917914379,0.6838711736457579,0.7330762074134612,0.7393756307448718
adjacent_ARI,23,0.8749896729896338,0.9258611300046409,0.12142038181488213,0.5832402983862193,0.9888867898137773,0.6289755711710242,0.702141430444683,0.8045723862503977,0.9645913755108118,0.9794958671455993,0.9830390305254503
adjacent_NMI,23,0.8838281743958447,0.8878228906081626,0.0663688584606688,0.7380157485554151,0.9768710467662073,0.7812549053412473,0.7936750698157762,0.8417685523845378,0.9421032949965891,0.957520877465096,0.9693160118768966
same_label_share,23,0.9158978808914869,0.9548319327731093,0.10400754756813498,0.6055672268907563,0.9957983193277311,0.6891281512605042,0.7912815126050421,0.8991596638655462,0.9863445378151261,0.9919117647058824,0.9944852941176471
