pair,cross_coassignment
A/B,0.0
A/C,0.009782342871117632
A/D,0.013998980206739906
A/E,0.005300083886219782
A/F,0.03270653046175201
A/G,0.028339396611913422
B/C,0.0
B/D,0.013071895424836602
B/E,0.9838709677419355
B/F,0.0
B/G,0.0
C/D,0.0
C/E,0.0
C/F,0.16977749657281452
C/G,0.34447025192067177
D/E,0.02347318855857755
D/F,0.48893685914732865
D/G,0.0
E/F,0.005392785505244813
E/G,0.0
F/G,0.4918445278952956
