algorithm,K,MQ,Q_resolution_0_5,AVI,AVU,S_Dbw,S_Dbw_status,SW,CHn,ARI,NMI
louvain,9,0.7674484517761571,0.8396535378887006,0.9074499787168073,0.5062908676778485,,undefined_zero_density_denominator,0.16964528233789158,0.4596719066993631,1.0,1.0
leiden,8,0.7538810348739456,0.8433254573445977,0.9182214935597359,0.5212883792403931,,undefined_zero_density_denominator,0.21197774756056376,0.5147358880744021,0.6106986668366812,0.7410124197492808
