month,bitwise_equal,max_abs_delta,matrix_sha256
2023-01-01,True,0.0,90ca6ad4b1e3b66607c67b4dfc0ba042d04ffa2f9da1342bb8d364d2e03595f9
2023-02-01,True,0.0,ab410ffee7c36036eb245d56161cce0493243b969cb2ab1054062c01c9f42ec3
2023-03-01,True,0.0,1dfac7be6778db88e607d4a178728810b1df03ea29407c533d7796432e904a01
2023-04-01,True,0.0,6d5c54f6c50022f07b660e3d9f26458723f64d9211f556e340d51e1cd67d9e26
2023-05-01,True,0.0,dca3da2a896a39d239784a020c254a2458fbff2a24e84d8d23ca3a5e63b0cfd1
2023-06-01,True,0.0,d6884e093ab936b562cd278d4f175d97c64cac29d454c1664453045fea5e35df
2023-07-01,True,0.0,60642e2ea1fc70447b85a683cf75488a1ef530cbb927900bdc160579292008f3
2023-08-01,True,0.0,d3ee5746d5a5770a52e2acaf966da2ad5f5d222453baaf60fae81cd7459a3656
2023-09-01,True,0.0,b30cd34bb153a6b8092032bb10e8159b2553030b55518e07d840cf8c2c63b5e0
2023-10-01,True,0.0,a2a335458a9457dbfacef6edfeabb5fcb8890042fb977fecafcd52bf213ec78d
2023-11-01,True,0.0,53445487564c29f45c1816172bc0ddcdb22a433426f02ddaba2cbac623649931
2023-12-01,True,0.0,2c6038500fc50d6e0305bf2a3b05d75822db6210e6859b0afdbd7efa0a50dd83
2024-01-01,True,0.0,f26df71126bc44b4f84c5870381dc5ab1969da983cc85d45f98ad4733671ab36
2024-02-01,True,0.0,a9950b295a7df06eb11159a34dd01fcb3a67977fbeaac7252aedb29637bde5c0
2024-03-01,True,0.0,4acd5ed9820b87422010fec2ed2e06760c6b3f5d555c1e41cc82f7bf3703f792
2024-04-01,True,0.0,a7b7a3a10388de0492a63a94d398f48c8ce0585e5faf5af236f28aa68ef9504b
2024-05-01,True,0.0,16cee6a9edeb2a462d35b0a0538a1038f627d04f6cd610efa995b7e2e3696946
2024-06-01,True,0.0,e562b1722f4619b9bddc03279fe253419cad3ce047eb796d2ad12226ad895976
2024-07-01,True,0.0,3808b0b20e194bcb324059f1d8f39cf13b9aee0a15a2d5dc8d5b7f82203c6185
2024-08-01,True,0.0,27430b12b1f0bbaeb59d0540d8c7d85ee01a0e0204b11c4cac908bb0902bfeb2
2024-09-01,True,0.0,79d2e8b366b84bc6c0e4dc458f3c3ba1c9da77c40c886774b23574cb2ecb8d0a
2024-10-01,True,0.0,e75b7e5679d4bf3477922f2a7fba9e1d4acb86abe77c78020d869698be33ccd4
2024-11-01,True,0.0,3182214e153962f9e59ce2bf82017c8dcf2f68cdf37b02c591eb048483d14f01
2024-12-01,True,0.0,abdb84b73cfed7ad5af2b1143d217627cc5c2c688de1accbc863342b715af8ca
