alpha,variant,historical_S_Dbw,diagnostic_S_Dbw,delta,admissible_as_historical_provenance
0.5,round14_strict,0.5489124793760968,,,False
0.5,round14_zero_zero,0.5489124793760968,0.2898767978513431,-0.25903568152475365,False
0.5,round14_floor_one,0.5489124793760968,0.2898767978513431,-0.25903568152475365,False
0.5,rms_radius_strict,0.5489124793760968,0.39181212695767786,-0.1571003524184189,False
0.5,rms_radius_floor_one,0.5489124793760968,0.39181212695767786,-0.1571003524184189,False
0.5,printed_outside_indicator,0.5489124793760968,1.6353065617057438,1.086394082329647,False
0.7,round14_strict,0.6315311638606655,,,False
0.7,round14_zero_zero,0.6315311638606655,,,False
0.7,round14_floor_one,0.6315311638606655,0.35121771207360586,-0.2803134517870597,False
0.7,rms_radius_strict,0.6315311638606655,0.41001845663897907,-0.22151270722168648,False
0.7,rms_radius_floor_one,0.6315311638606655,0.41001845663897907,-0.22151270722168648,False
0.7,printed_outside_indicator,0.6315311638606655,1.6916871702269995,1.060156006366334,False
0.9,round14_strict,0.46815959798879053,,,False
0.9,round14_zero_zero,0.46815959798879053,0.17676402833667454,-0.291395569652116,False
0.9,round14_floor_one,0.46815959798879053,0.17676402833667454,-0.291395569652116,False
0.9,rms_radius_strict,0.46815959798879053,0.338295803241372,-0.12986379474741855,False
0.9,rms_radius_floor_one,0.46815959798879053,0.338295803241372,-0.12986379474741855,False
0.9,printed_outside_indicator,0.46815959798879053,1.531416959652405,1.0632573616636145,False
