scope,key,actual,stored,delta,passed
seed0_profiles,D/retention,0.8888888888888888,0.8888888888888888,0.0,True
seed0_profiles,D/precision,0.8717948717948718,0.8717948717948718,0.0,True
seed0_profiles,D/Jaccard,0.7861271676300579,0.7861271676300579,0.0,True
seed0_profiles,D/within_pair_coassignment,0.7951496388028896,0.7951496388028896,0.0,True
seed0_profiles,E/retention,1.0,1.0,0.0,True
seed0_profiles,E/precision,0.9346733668341709,0.9346733668341709,0.0,True
seed0_profiles,E/Jaccard,0.9346733668341709,0.9346733668341709,0.0,True
seed0_profiles,E/within_pair_coassignment,1.0,1.0,0.0,True
seed0_profiles,F/retention,0.9204892966360856,0.9204892966360856,0.0,True
seed0_profiles,F/precision,0.6117886178861789,0.6117886178861789,0.0,True
seed0_profiles,F/Jaccard,0.581081081081081,0.581081081081081,0.0,True
seed0_profiles,F/within_pair_coassignment,0.850772030543517,0.850772030543517,0.0,True
seed0_profiles,G/retention,0.8134715025906736,0.8134715025906736,0.0,True
seed0_profiles,G/precision,0.9974587039390089,0.9974587039390089,0.0,True
seed0_profiles,G/Jaccard,0.811789038262668,0.811789038262668,0.0,True
seed0_profiles,G/within_pair_coassignment,0.6954464343301873,0.6954464343301873,0.0,True
seed0_pairs,A/B/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,A/C/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,A/D/cross_coassignment,0.0006489593473323136,0.0006489593473323136,0.0,True
seed0_pairs,A/E/cross_coassignment,0.014184397163120567,0.014184397163120567,0.0,True
seed0_pairs,A/F/cross_coassignment,0.006202962673780554,0.006202962673780554,0.0,True
seed0_pairs,A/G/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,B/C/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,B/D/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,B/E/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,B/F/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,B/G/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,C/D/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,C/E/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,C/F/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,C/G/cross_coassignment,0.0570662855100947,0.0570662855100947,0.0,True
seed0_pairs,D/E/cross_coassignment,0.0457516339869281,0.0457516339869281,0.0,True
seed0_pairs,D/F/cross_coassignment,0.11508864504007515,0.11508864504007515,0.0,True
seed0_pairs,D/G/cross_coassignment,0.012055945003217177,0.012055945003217177,0.0,True
seed0_pairs,E/F/cross_coassignment,0.012232415902140673,0.012232415902140673,0.0,True
seed0_pairs,E/G/cross_coassignment,0.0,0.0,0.0,True
seed0_pairs,F/G/cross_coassignment,0.16978973554530905,0.16978973554530905,0.0,True
seed0_run,ARI_all_supra,0.5688699266484374,0.5688699266484374,0.0,True
seed0_run,NMI_all_supra,0.6752610910334176,0.6752610910334176,0.0,True
seed0_run,ARI_Dec2024,0.7047769940063069,0.7047769940063069,0.0,True
seed0_run,NMI_Dec2024,0.7921104565231675,0.7921104565231675,0.0,True
seed0_run,K_supra,12.0,12.0,0.0,True
seed0_run,K_Dec2024,9.0,9.0,0.0,True
seed0_run,mean_switches,1.584033613445378,1.584033613445378,0.0,True
seed0_run,median_switches,1.0,1.0,0.0,True
seed0_run,share_zero_switches,0.15913865546218486,0.15913865546218486,0.0,True
seed0_run,share_le2_switches,0.7993697478991597,0.7993697478991597,0.0,True
seed0_run,mean_adjacent_ARI,0.8618571888287978,0.8618571888287978,0.0,True
