archetype,evidence_version,freeze_revision,reference_n,evidence_scope,historical_perturbation_pilot_status,historical_pilot_quantitative_evidence_used,perturbation_v2_n,S_Dbw_evidence_status,scientific_status_registry,leiden_retention,perturbation_v2_mean_retention,perturbation_v2_median_retention,perturbation_v2_SD_retention,perturbation_v2_min_retention,perturbation_v2_max_retention,perturbation_v2_q05_retention,perturbation_v2_q10_retention,perturbation_v2_q25_retention,perturbation_v2_q75_retention,perturbation_v2_q90_retention,perturbation_v2_q95_retention,perturbation_v2_retention_share_ge_0.90,perturbation_v2_retention_share_ge_0.80,perturbation_v2_retention_share_ge_0.70,perturbation_v2_retention_share_ge_0.50,leiden_precision,perturbation_v2_mean_precision,perturbation_v2_median_precision,perturbation_v2_SD_precision,perturbation_v2_min_precision,perturbation_v2_max_precision,perturbation_v2_q05_precision,perturbation_v2_q10_precision,perturbation_v2_q25_precision,perturbation_v2_q75_precision,perturbation_v2_q90_precision,perturbation_v2_q95_precision,leiden_Jaccard,perturbation_v2_mean_Jaccard,perturbation_v2_median_Jaccard,perturbation_v2_SD_Jaccard,perturbation_v2_min_Jaccard,perturbation_v2_max_Jaccard,perturbation_v2_q05_Jaccard,perturbation_v2_q10_Jaccard,perturbation_v2_q25_Jaccard,perturbation_v2_q75_Jaccard,perturbation_v2_q90_Jaccard,perturbation_v2_q95_Jaccard,leiden_within_pair_coassignment,perturbation_v2_mean_within_pair_coassignment,perturbation_v2_median_within_pair_coassignment,perturbation_v2_SD_within_pair_coassignment,perturbation_v2_min_within_pair_coassignment,perturbation_v2_max_within_pair_coassignment,perturbation_v2_q05_within_pair_coassignment,perturbation_v2_q10_within_pair_coassignment,perturbation_v2_q25_within_pair_coassignment,perturbation_v2_q75_within_pair_coassignment,perturbation_v2_q90_within_pair_coassignment,perturbation_v2_q95_within_pair_coassignment,perturbation_v2_boundary_note
A,2.2.0,canonical_forensic_1,141,saved_label_replay_verified; not new clustering reproduction,SUPERSEDED_NON_REPRODUCIBLE,False,50,EXCLUDED_UNRESOLVED_HISTORICAL_PROVENANCE_AND_UNDEFINED_ROUND14,SCIENTIFIC_STATUS_REGISTRY_UNCHANGED.csv,0.9574468085106383,0.9412765957446808,0.9574468085106383,0.05679256274347312,0.6524822695035462,0.9929078014184397,0.8723404255319149,0.8794326241134752,0.9219858156028369,0.9787234042553191,0.9929078014184397,0.9929078014184397,0.82,0.98,0.98,1.0,0.9642857142857143,0.7268135437384217,0.8852853243208112,0.29621548169150463,0.07032498668087374,0.9858156028368794,0.2262966049838584,0.27430351710519296,0.48998352515845595,0.9593125734430081,0.97730625,0.9852450980392157,0.9246575342465754,0.6882053842730724,0.8347820813455162,0.27701203674251346,0.06998939554612937,0.972027972027972,0.22592933382407068,0.2704029649252401,0.44176736908685377,0.8867167600611309,0.9320624580898553,0.9462670678083777,0.9171225937183384,0.8926849037487335,0.917274569402229,0.08837055671045842,0.5124620060790274,0.9858156028368794,0.7682826747720365,0.7810131712259372,0.8523302938196555,0.9578520770010132,0.9858156028368794,0.9858156028368794,"A/D: mean=0.230527048, q10=0.006508135, q90=0.960992908"
B,2.2.0,canonical_forensic_1,98,saved_label_replay_verified; not new clustering reproduction,SUPERSEDED_NON_REPRODUCIBLE,False,50,EXCLUDED_UNRESOLVED_HISTORICAL_PROVENANCE_AND_UNDEFINED_ROUND14,SCIENTIFIC_STATUS_REGISTRY_UNCHANGED.csv,1.0,0.9720408163265306,1.0,0.09710708989829739,0.5510204081632653,1.0,0.7535714285714286,0.9887755102040816,1.0,1.0,1.0,1.0,0.92,0.94,0.94,1.0,0.3462897526501767,0.6145776954211677,0.6227305737109659,0.2824970152009738,0.05114544485881726,1.0,0.24680476190476192,0.33691385076692426,0.34446717500464946,0.8596491228070176,1.0,1.0,0.3462897526501767,0.601487178885548,0.5779793398841018,0.2766563182979579,0.05109100585417775,1.0,0.21628230131643103,0.33691385076692426,0.34446717500464946,0.8596491228070176,0.9898062255205112,1.0,1.0,0.963757626762045,1.0,0.11926705763102496,0.5001051967178624,1.0,0.6335682726698927,0.9775930990953082,1.0,1.0,1.0,1.0,"B/E: mean=0.465585912, q10=0.009622559, q90=0.994623656"
C,2.2.0,canonical_forensic_1,29,saved_label_replay_verified; not new clustering reproduction,SUPERSEDED_NON_REPRODUCIBLE,False,50,EXCLUDED_UNRESOLVED_HISTORICAL_PROVENANCE_AND_UNDEFINED_ROUND14,SCIENTIFIC_STATUS_REGISTRY_UNCHANGED.csv,0.6206896551724138,0.7186206896551723,0.6551724137931034,0.14163910837420254,0.5862068965517241,1.0,0.5862068965517241,0.5862068965517241,0.6206896551724138,0.8879310344827587,0.9310344827586207,0.95,0.16,0.32,0.34,1.0,1.0,0.8393131386968362,1.0,0.2952948808176715,0.01072961373390558,1.0,0.028470772442588728,0.4628897944720058,0.7940340909090908,1.0,1.0,1.0,0.6206896551724138,0.5899290715372217,0.6206896551724138,0.2058905483851674,0.010678056593699947,0.9,0.028059439661811774,0.4373873873873875,0.5862068965517241,0.6811140408701385,0.7267857142857143,0.8289215686274509,0.4876847290640394,0.5821674876847291,0.49014778325123154,0.18659574937326798,0.4064039408866995,1.0,0.4088669950738916,0.41576354679802957,0.4482758620689655,0.7869458128078818,0.8669950738916257,0.9022167487684727,All pair distributions recorded separately; no status inference
D,2.2.0,canonical_forensic_1,153,saved_label_replay_verified; not new clustering reproduction,SUPERSEDED_NON_REPRODUCIBLE,False,50,EXCLUDED_UNRESOLVED_HISTORICAL_PROVENANCE_AND_UNDEFINED_ROUND14,SCIENTIFIC_STATUS_REGISTRY_UNCHANGED.csv,0.9869281045751634,0.9758169934640523,0.9869281045751634,0.034236623935199086,0.8235294117647058,1.0,0.9049019607843137,0.9215686274509803,0.9754901960784313,0.9934640522875817,1.0,1.0,0.96,1.0,1.0,1.0,0.4748427672955975,0.5116609246776777,0.45812079213246437,0.24388422401222878,0.08098028769312733,0.9931972789115646,0.24565323465490685,0.29767675258659987,0.3285882607545627,0.6514505451713396,0.941,0.9603020058598152,0.471875,0.4993048541706833,0.44805559893799785,0.2288642636074262,0.08093716719914804,0.948051948051948,0.24527763314978726,0.29602918820310126,0.32644294664894624,0.6251275380063259,0.8632870370370371,0.93999032492139,0.9740282077743379,0.9544805641554867,0.9740282077743379,0.06032595067306644,0.7074303405572755,1.0,0.8242733058135535,0.8542569659442725,0.9518403852769178,0.9869281045751634,1.0,1.0,"A/D: mean=0.230527048, q10=0.006508135, q90=0.960992908; D/F: mean=0.434798025, q10=0.021234834, q90=0.925070456"
E,2.2.0,canonical_forensic_1,186,saved_label_replay_verified; not new clustering reproduction,SUPERSEDED_NON_REPRODUCIBLE,False,50,EXCLUDED_UNRESOLVED_HISTORICAL_PROVENANCE_AND_UNDEFINED_ROUND14,SCIENTIFIC_STATUS_REGISTRY_UNCHANGED.csv,0.9838709677419355,0.8726881720430107,0.9086021505376344,0.14475817530710086,0.5645161290322581,1.0,0.6147849462365591,0.6236559139784946,0.7473118279569892,0.9946236559139785,1.0,1.0,0.6,0.72,0.78,1.0,0.6466431095406361,0.7628877042254889,0.7512790240062968,0.22643574927512153,0.09909429941395845,1.0,0.50874943000456,0.5344177057930336,0.6347824179680646,0.9759116377330761,0.984810266622414,0.9914007466892083,0.6398601398601399,0.6834200830393755,0.6645545314900154,0.21636858041189072,0.09909429941395845,0.9738219895287958,0.3737583395107487,0.4073943661971831,0.6180619486557981,0.8782826912642431,0.9020234864160375,0.9594357026587086,0.9679744260389421,0.8153513513513514,0.8320836965998256,0.18427836926650584,0.5010171461784365,1.0,0.5175443185120604,0.5280441732054635,0.6063353676256902,0.989247311827957,1.0,1.0,"B/E: mean=0.465585912, q10=0.009622559, q90=0.994623656"
F,2.2.0,canonical_forensic_1,327,saved_label_replay_verified; not new clustering reproduction,SUPERSEDED_NON_REPRODUCIBLE,False,50,EXCLUDED_UNRESOLVED_HISTORICAL_PROVENANCE_AND_UNDEFINED_ROUND14,SCIENTIFIC_STATUS_REGISTRY_UNCHANGED.csv,0.4954128440366973,0.7028134556574925,0.6437308868501529,0.19700039213401413,0.3547400611620795,0.9877675840978594,0.4859327217125382,0.4923547400611621,0.5160550458715596,0.9174311926605504,0.9547400611620795,0.9711009174311926,0.3,0.4,0.44,0.82,0.5094339622641509,0.4767619695373152,0.5050724637681159,0.23066185082678348,0.12121212121212122,0.9587301587301588,0.15420559534733874,0.16486403830694488,0.2644278618427115,0.6114456300813008,0.8247199785050967,0.8809295199182838,0.33540372670807456,0.4009165523969318,0.366831119544592,0.2111971575172315,0.09931506849315068,0.888235294117647,0.13627560418146226,0.14756200725904398,0.21573602100710534,0.5475370771884374,0.707416682269238,0.772816679779701,0.48642614585092214,0.6272861672388886,0.5138271326991989,0.2035968956448561,0.28430986285435544,0.975685259188383,0.3862863736140035,0.40631132624153393,0.47802105026172115,0.8455892009530779,0.9124781899026285,0.9434869889870734,"D/F: mean=0.434798025, q10=0.021234834, q90=0.925070456; F/G: mean=0.317797785, q10=0.053116572, q90=0.587406633"
G,2.2.0,canonical_forensic_1,965,saved_label_replay_verified; not new clustering reproduction,SUPERSEDED_NON_REPRODUCIBLE,False,50,EXCLUDED_UNRESOLVED_HISTORICAL_PROVENANCE_AND_UNDEFINED_ROUND14,SCIENTIFIC_STATUS_REGISTRY_UNCHANGED.csv,0.9989637305699481,0.9063419689119172,0.9751295336787564,0.1456993419792234,0.5098445595854922,0.9989637305699481,0.5389119170984455,0.6229015544041451,0.8772020725388601,0.9968911917098445,0.9989637305699481,0.9989637305699481,0.7,0.86,0.86,1.0,0.8456140350877193,0.8930402061871401,0.8987430342776255,0.10899811892163386,0.512519978689398,1.0,0.7416478370947105,0.7828001678469387,0.8463353527074149,0.9840783723762447,0.9942945432071836,0.9963782344481682,0.8448729184925504,0.8127641568695849,0.8515453670793476,0.14524645333136563,0.4314410480349345,0.964984552008239,0.4853454627471619,0.5310354885755956,0.8109359646365533,0.9019868796946603,0.9467480992827425,0.9577741436827119,0.9979274611398964,0.8684965063530626,0.9511437662588953,0.17219514064932667,0.45490723023670804,0.9979274611398964,0.4987031582568314,0.4999335669597747,0.7820921032829532,0.9937904456818524,0.9979274611398964,0.9979274611398964,"F/G: mean=0.317797785, q10=0.053116572, q90=0.587406633"
