perturb_seed,K_Dec2024,B_within_pair_coassignment,E_within_pair_coassignment,B_E_cross_coassignment,B_destinations,E_destinations
0,8,1.0,0.8330136588201105,0.0913978494623656,0:98,4:169; 0:17
1,10,1.0,0.989247311827957,0.9946236559139785,9:98,9:185; 12:1
2,8,1.0,0.8330136588201105,0.0913978494623656,6:98,1:169; 6:17
3,9,1.0,0.989247311827957,0.0,10:98,7:185; 8:1
4,9,1.0,0.5161290322580645,0.5967741935483871,8:98,8:111; 7:75
