panel_index,municipality,reference_profile,full_consensus_class,without_perturbation_class_matches_full,without_perturbation_DG_side_matches_full,without_alpha_class_matches_full,without_alpha_DG_side_matches_full,without_gamma_class_matches_full,without_gamma_DG_side_matches_full,without_algorithm_class_matches_full,without_algorithm_DG_side_matches_full,lofo_class_match_count,lofo_all_class_match,lofo_DG_side_match_count,lofo_all_DG_side_match,lofo_entropy_range,lofo_min_margin
368,Каргатский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08606149492013626,0.3647726356879338
369,Кардымовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08347780037209052,0.3713528707595649
370,Кармаскалинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
371,Карсунский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
372,Карталинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08484266599376855,0.36491615604457694
373,Карымский муниципальный район,F,D,True,True,True,True,True,True,False,True,3,False,4,True,0.16416734740972894,0.03738529232089516
374,Касимовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08606149492013626,0.3647726356879338
375,Каслинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
376,Катав-Ивановский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08604204917991454,0.3085765217788225
377,Катайский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08347780037209052,0.3713528707595649
378,Катангский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.3233210648772359,0.6710147435318765
379,Качугский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09026595100783985,0.34555201953981274
380,Кваркенский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
381,Кежемский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1186011869206679,0.24600666661017812
382,Кемеровский муниципальный округ,D,D,True,True,True,True,True,True,True,True,4,True,4,True,0.17441710853709952,0.26891145699373514
383,Кемский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1038570000814606,0.1440729884090432
384,Кигинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
385,Кизильский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
386,Киквидзенский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
387,Килемарский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
388,Кильмезский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
389,Кимовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
390,Кингисеппский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.33389064273605895,0.6561869498891748
391,Кинель-Черкасский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08738103085907878,0.3583734282087796
392,Кинельский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08276285488706847,0.3749774809977796
393,Кинешемский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08268259208397688,0.3745918195054224
394,Киреевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08604204917991454,0.3085765217788225
395,Киренский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1038570000814606,0.1440729884090432
396,Киржачский муниципальный район,F,D,True,True,True,True,True,True,True,True,4,True,4,True,0.1763393454485322,0.02194856742741802
397,Кирилловский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08268259208397688,0.3745918195054224
398,Киришский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.3558199504070869,0.5197189507087137
399,Кирово-Чепецкий муниципальный район,F,F,False,True,False,True,False,True,True,True,1,False,4,True,0.08808499303185169,0.004897112042300922
400,Кировский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1131859035878735,0.17372051193478333
401,Кичменгско-Городецкий муниципальный округ,G,G,True,True,True,True,True,True,False,True,3,False,4,True,0.07930032311872337,0.009165951251528526
402,Клепиковский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08276285488706847,0.3749774809977796
403,Клетский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
404,Ключевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09419716786323151,0.3588033639312711
405,Клявлинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
406,Княгининский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.0834232175438534,0.3220659422876155
407,Княжпогостский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.1038570000814606,0.1440729884090432
408,Кобяйский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.3233210648772359,0.6710147435318765
409,Ковдорский муниципальный округ,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.33389064273605895,0.6561869498891748
410,Ковернинский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08437308408372868,0.31573759066844564
411,Ковылкинский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08910432763278764,0.3586966698185262
412,Кожевниковский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
