reference_profile,n_reference,n_anchors,anchor_fraction_realized,share_anchor_class_matches_full,share_anchor_class_matches_reference,median_anchor_vs_all_L1,median_anchor_entropy
A,141,36,0.2553191489361702,0.9716312056737588,0.9645390070921985,0.10167429790336988,0.3078879881133536
B,98,25,0.25510204081632654,1.0,1.0,0.0448840288326858,0.4114341306963998
C,29,8,0.27586206896551724,0.7241379310344828,0.6551724137931034,0.07461687106858228,0.231802261132395
D,153,39,0.2549019607843137,1.0,0.9869281045751634,0.14542756339543822,0.48649148943050446
E,186,47,0.25268817204301075,1.0,0.9086021505376344,0.04474659378338154,0.4451869006026889
F,327,82,0.25076452599388377,0.5840978593272171,0.4617737003058104,0.1733380221443305,0.5509582095619439
G,965,242,0.25077720207253884,1.0,1.0,0.3697787381235158,0.34152475035752194
