reference_profile,n,mean_self_affinity_share,median_self_affinity_share,median_affinity_entropy,median_affinity_margin,share_consensus_matches_reference,share_all_four_LOFO_match_full,share_anchor_class_matches_full,most_common_second_class,most_common_second_class_share
A,141,0.7729656415226535,0.8150094292163469,0.38595565936241794,0.7352163795853109,0.9645390070921985,0.9574468085106383,0.9716312056737588,F,0.9290780141843972
B,98,0.6407163330976164,0.6409063879400063,0.42255368812116484,0.3166056072156401,1.0,1.0,1.0,E,1.0
C,29,0.689029863811819,0.8748161489097994,0.30481732519808363,0.8416138684383183,0.9310344827586207,0.7241379310344828,0.7241379310344828,A,0.5517241379310345
D,153,0.6121868447871938,0.6206864539171215,0.5279899880707933,0.3442701363955029,0.9869281045751634,0.9869281045751634,1.0,F,0.9869281045751634
E,186,0.5628577798050448,0.5992593835216613,0.46105357222337534,0.28849552929030037,0.9086021505376344,0.978494623655914,1.0,B,0.9032258064516129
F,327,0.3597764136328338,0.36304899755980724,0.637961360359647,0.09364421566500486,0.10703363914373089,0.5871559633027523,0.5840978593272171,F,0.8899082568807339
G,965,0.6073282928073396,0.6282011401917028,0.5366179749868701,0.42787456111949057,1.0,0.9958549222797928,1.0,F,0.9979274611398964
