,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Абазинский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Абанский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Абатский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11
Абзелиловский муниципальный район,1,1,0,0,0,0,1,1,1,1,1,4,4,1,1,4,4,10,10,10,10,10,10,10
Агинский муниципальный район,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1,1
Агрызский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10
Адамовский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Азнакаевский муниципальный район,2,2,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,10,10,10,11,11,11
Азовский немецкий национальный муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11
Акбулакский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11
Аксубаевский муниципальный район,3,3,3,3,3,3,0,0,0,0,7,7,7,7,11,11,11,11,11,11,11,11,11,11
Актанышский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,11,11
Алагирский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Аларский муниципальный район,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Алданский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Александро-Невский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
