ARI_all_supra,NMI_all_supra,ARI_Dec2024,NMI_Dec2024,K_supra,K_Dec2024,mean_switches,median_switches,share_zero_switches,share_le2_switches,mean_adjacent_ARI,mean_adjacent_NMI,largest_community_n_Dec,largest_community_share_Dec,mode,seed,louvain_seed,gamma,K,MQ,Q_resolution_0_5,AVI,AVU,Dec_K,Dec_MQ,Dec_Q_resolution_0_5,Dec_AVI,Dec_AVU
1.0,1.0,1.0,1.0,12,10,1.3387605042016806,1.0,0.25,0.8529411764705882,0.8779039416435567,0.8897285713038698,965,0.506827731092437,optimizer_only,0,0,0.5,,,,,,,,,,
0.47627106985094025,0.6321640450771975,0.6878862566128047,0.7281826155562765,10,8,1.7022058823529411,2.0,0.19012605042016806,0.8040966386554622,0.8438747513438437,0.8721297021166194,837,0.43960084033613445,optimizer_only,1,1,0.5,,,,,,,,,,
0.4458823493444786,0.5821865580793821,0.7168796786901299,0.711693155727794,12,10,1.7100840336134453,2.0,0.06039915966386555,0.8718487394957983,0.8497658122795243,0.8641437697192227,1118,0.5871848739495799,optimizer_only,2,2,0.5,,,,,,,,,,
0.5638425460481794,0.6510844887372262,0.7928292559234894,0.7572307486313161,12,11,1.6491596638655461,2.0,0.13497899159663865,0.8692226890756303,0.8415179165449621,0.8667143227852236,1007,0.5288865546218487,optimizer_only,3,3,0.5,,,,,,,,,,
0.5527944191312923,0.6767345118890054,0.8786888565993151,0.8438779859267581,12,9,1.5614495798319328,2.0,0.27153361344537813,0.8692226890756303,0.8541484818366424,0.8821095489745344,1010,0.5304621848739496,optimizer_only,4,4,0.5,,,,,,,,,,
0.5352845478748095,0.622705333793863,0.6932383674920278,0.6947660748894909,12,10,1.631827731092437,2.0,0.06092436974789916,0.9012605042016807,0.8523448921214591,0.8730355206552123,1147,0.6024159663865546,optimizer_only,5,5,0.5,,,,,,,,,,
0.49067350192463155,0.646167187100944,0.7511019683500314,0.7853062849419156,12,10,1.550420168067227,2.0,0.20588235294117646,0.8671218487394958,0.8620098932205013,0.8841384157049169,852,0.4474789915966387,optimizer_only,6,6,0.5,,,,,,,,,,
0.5050784606713137,0.640900078530248,0.7334338889172256,0.7068971324662338,11,7,1.7074579831932772,2.0,0.1565126050420168,0.8455882352941176,0.8583075429616522,0.8766758694668048,1072,0.5630252100840336,optimizer_only,7,7,0.5,,,,,,,,,,
0.5126740028423638,0.623576051371906,0.8349259789423329,0.7919278649920015,11,8,1.8146008403361344,2.0,0.06407563025210083,0.8072478991596639,0.8426613414013369,0.8635440250151845,973,0.5110294117647058,optimizer_only,8,8,0.5,,,,,,,,,,
0.5485155434191668,0.6664095738408867,0.7376428767904203,0.7271450181344445,12,10,1.5824579831932772,2.0,0.21481092436974789,0.8907563025210085,0.8603105825652343,0.887162425839758,1076,0.5651260504201681,optimizer_only,9,9,0.5,,,,,,,,,,
0.6603547485550882,0.6966555963677423,0.8277258443020822,0.7887012926927648,12,10,1.2584033613445378,1.0,0.21743697478991597,0.8739495798319328,0.8953807195252638,0.893388077284182,959,0.5036764705882353,optimizer_only,10,10,0.5,,,,,,,,,,
0.5370385992876705,0.6471327389832303,0.7245005180830209,0.7446028072841909,11,9,1.5483193277310925,2.0,0.19852941176470587,0.8897058823529411,0.8556141423808016,0.876582660047043,1102,0.5787815126050421,optimizer_only,11,11,0.5,,,,,,,,,,
0.6010267039561031,0.6767223894881945,0.8781381676432192,0.8237208501579515,11,9,1.372373949579832,1.0,0.17436974789915966,0.8497899159663865,0.8752835139139744,0.884299936100132,939,0.49317226890756305,optimizer_only,12,12,0.5,,,,,,,,,,
0.5101912735269285,0.6529742315156164,0.850623369352129,0.7992904150355038,12,10,1.6890756302521008,2.0,0.17804621848739496,0.8377100840336135,0.8415471819067828,0.8730161166319605,953,0.5005252100840336,optimizer_only,13,13,0.5,,,,,,,,,,
0.4114598800190458,0.5880327666002751,0.43492366938428334,0.649196937904868,11,8,1.7274159663865547,2.0,0.0546218487394958,0.8025210084033614,0.854096870027193,0.8663782210981267,720,0.37815126050420167,optimizer_only,14,14,0.5,,,,,,,,,,
0.5887034057296904,0.6841470054401887,0.8086013883720368,0.804465966264042,12,9,1.3639705882352942,1.0,0.25735294117647056,0.8172268907563025,0.8704522969110059,0.888439407725899,876,0.46008403361344535,optimizer_only,15,15,0.5,,,,,,,,,,
0.5107777389104157,0.642290682871976,0.6912012792773828,0.7621538978854188,11,9,1.3529411764705883,1.0,0.13077731092436976,0.8639705882352942,0.8803276294598108,0.8860719899108905,775,0.4070378151260504,optimizer_only,16,16,0.5,,,,,,,,,,
