archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,mode,seed,louvain_seed,gamma
B,98,2,98,98,1.0,1.0,1.0,1.0,1,optimizer_only,10,10,0.5
C,29,3,33,26,0.896551724137931,0.7878787878787878,0.7222222222222222,0.8029556650246306,3,optimizer_only,10,10,0.5
D,153,7,414,148,0.9673202614379085,0.357487922705314,0.3532219570405728,0.936360509115927,2,optimizer_only,10,10,0.5
E,186,6,194,186,1.0,0.9587628865979382,0.9587628865979382,1.0,1,optimizer_only,10,10,0.5
F,327,7,414,239,0.7308868501529052,0.5772946859903382,0.4760956175298805,0.5746984109116152,4,optimizer_only,10,10,0.5
G,965,8,959,933,0.966839378238342,0.97288842544317,0.941473259334006,0.9355062025670243,5,optimizer_only,10,10,0.5
A,141,1,148,137,0.9716312056737588,0.9256756756756757,0.9013157894736842,0.9444782168186423,2,optimizer_only,11,11,0.5
B,98,7,115,97,0.9897959183673469,0.8434782608695652,0.8362068965517241,0.9795918367346939,2,optimizer_only,11,11,0.5
C,29,3,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4236453201970443,4,optimizer_only,11,11,0.5
D,153,9,347,153,1.0,0.4409221902017291,0.4409221902017291,1.0,1,optimizer_only,11,11,0.5
E,186,5,170,168,0.9032258064516129,0.9882352941176471,0.8936170212765957,0.8242371403661726,2,optimizer_only,11,11,0.5
F,327,9,347,175,0.5351681957186545,0.5043227665706052,0.35070140280561124,0.48190465469691,3,optimizer_only,11,11,0.5
G,965,10,1102,950,0.9844559585492227,0.8620689655172413,0.8504923903312444,0.9693333046675123,3,optimizer_only,11,11,0.5
A,141,2,129,127,0.900709219858156,0.9844961240310077,0.8881118881118881,0.8165146909827761,3,optimizer_only,12,12,0.5
B,98,5,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,optimizer_only,12,12,0.5
C,29,6,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4236453201970443,4,optimizer_only,12,12,0.5
D,153,9,178,137,0.8954248366013072,0.7696629213483146,0.7061855670103093,0.8114895080839353,2,optimizer_only,12,12,0.5
E,186,7,133,131,0.7043010752688172,0.9849624060150376,0.6968085106382979,0.5436791630340018,3,optimizer_only,12,12,0.5
F,327,8,386,318,0.9724770642201835,0.8238341968911918,0.8050632911392405,0.9460422881371832,3,optimizer_only,12,12,0.5
G,965,10,939,926,0.9595854922279793,0.9861554845580405,0.9468302658486708,0.9222754928729603,3,optimizer_only,12,12,0.5
A,141,2,187,138,0.9787234042553191,0.7379679144385026,0.7263157894736842,0.9578520770010132,3,optimizer_only,13,13,0.5
B,98,8,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,optimizer_only,13,13,0.5
C,29,3,27,26,0.896551724137931,0.9629629629629629,0.8666666666666667,0.8029556650246306,3,optimizer_only,13,13,0.5
D,153,7,437,153,1.0,0.3501144164759725,0.3501144164759725,1.0,1,optimizer_only,13,13,0.5
E,186,4,178,168,0.9032258064516129,0.9438202247191011,0.8571428571428571,0.82324905550712,3,optimizer_only,13,13,0.5
F,327,7,437,261,0.7981651376146789,0.597254004576659,0.5188866799204771,0.65841166207013,4,optimizer_only,13,13,0.5
G,965,9,953,940,0.9740932642487047,0.9863588667366212,0.9611451942740287,0.9492442972932299,5,optimizer_only,13,13,0.5
A,141,1,126,122,0.8652482269503546,0.9682539682539683,0.8413793103448276,0.7651469098277609,2,optimizer_only,14,14,0.5
B,98,9,275,98,1.0,0.3563636363636364,0.3563636363636364,1.0,1,optimizer_only,14,14,0.5
C,29,2,18,18,0.6206896551724138,1.0,0.6206896551724138,0.45320197044334976,3,optimizer_only,14,14,0.5
D,153,10,318,153,1.0,0.4811320754716981,0.4811320754716981,1.0,1,optimizer_only,14,14,0.5
E,186,9,275,177,0.9516129032258065,0.6436363636363637,0.6232394366197183,0.9074106364428945,2,optimizer_only,14,14,0.5
F,327,7,720,187,0.5718654434250765,0.25972222222222224,0.21744186046511627,0.49862103900489674,3,optimizer_only,14,14,0.5
G,965,7,720,524,0.5430051813471503,0.7277777777777777,0.45133505598621876,0.5031840560703459,2,optimizer_only,14,14,0.5
A,141,3,134,133,0.9432624113475178,0.9925373134328358,0.9366197183098591,0.8906788247213779,3,optimizer_only,15,15,0.5
B,98,8,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,optimizer_only,15,15,0.5
C,29,1,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,optimizer_only,15,15,0.5
D,153,4,227,152,0.9934640522875817,0.6696035242290749,0.6666666666666666,0.9869281045751634,2,optimizer_only,15,15,0.5
E,186,6,100,100,0.5376344086021505,1.0,0.5376344086021505,0.43196745132229003,3,optimizer_only,15,15,0.5
F,327,7,431,323,0.9877675840978594,0.7494199535962877,0.7425287356321839,0.9756664978142999,4,optimizer_only,15,15,0.5
G,965,11,876,873,0.9046632124352332,0.9965753424657534,0.9018595041322314,0.8273256938920301,2,optimizer_only,15,15,0.5
A,141,9,139,133,0.9432624113475178,0.9568345323741008,0.9047619047619048,0.8904761904761904,4,optimizer_only,16,16,0.5
B,98,2,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,optimizer_only,16,16,0.5
C,29,4,35,28,0.9655172413793104,0.8,0.7777777777777778,0.9310344827586207,2,optimizer_only,16,16,0.5
D,153,3,325,152,0.9934640522875817,0.4676923076923077,0.4662576687116564,0.9869281045751634,2,optimizer_only,16,16,0.5
E,186,3,325,168,0.9032258064516129,0.5169230769230769,0.4897959183673469,0.8223190932868352,4,optimizer_only,16,16,0.5
F,327,8,402,316,0.9663608562691132,0.7860696517412935,0.7651331719128329,0.9339787246017899,5,optimizer_only,16,16,0.5
G,965,10,775,771,0.7989637305699482,0.9948387096774194,0.7956656346749226,0.6584417259690839,4,optimizer_only,16,16,0.5
A,141,0,141,135,0.9574468085106383,0.9574468085106383,0.9183673469387755,0.9174265450861195,3,optimizer_only,17,17,0.5
B,98,5,98,98,1.0,1.0,1.0,1.0,1,optimizer_only,17,17,0.5
C,29,6,34,26,0.896551724137931,0.7647058823529411,0.7027027027027027,0.8078817733990148,2,optimizer_only,17,17,0.5
D,153,8,333,149,0.9738562091503268,0.44744744744744747,0.4421364985163205,0.9484864121087031,3,optimizer_only,17,17,0.5
E,186,9,189,185,0.9946236559139785,0.9788359788359788,0.9736842105263158,0.989247311827957,2,optimizer_only,17,17,0.5
F,327,8,333,168,0.5137614678899083,0.5045045045045045,0.34146341463414637,0.4843248719536219,4,optimizer_only,17,17,0.5
G,965,10,636,481,0.49844559585492226,0.7562893081761006,0.4294642857142857,0.48332724184636555,4,optimizer_only,17,17,0.5
A,141,3,119,114,0.8085106382978723,0.957983193277311,0.7808219178082192,0.6728470111448834,5,optimizer_only,18,18,0.5
B,98,2,98,98,1.0,1.0,1.0,1.0,1,optimizer_only,18,18,0.5
C,29,7,34,27,0.9310344827586207,0.7941176470588235,0.75,0.8669950738916257,2,optimizer_only,18,18,0.5
D,153,9,160,151,0.9869281045751634,0.94375,0.9320987654320988,0.9740282077743379,2,optimizer_only,18,18,0.5
E,186,6,185,183,0.9838709677419355,0.9891891891891892,0.973404255319149,0.9679744260389421,3,optimizer_only,18,18,0.5
F,327,10,399,312,0.9541284403669725,0.7819548872180451,0.7536231884057971,0.910752143486989,5,optimizer_only,18,18,0.5
G,965,8,907,902,0.9347150259067357,0.9944873208379272,0.9298969072164949,0.8776944080149636,3,optimizer_only,18,18,0.5
A,141,2,152,133,0.9432624113475178,0.875,0.83125,0.8909827760891591,3,optimizer_only,19,19,0.5
B,98,5,208,98,1.0,0.47115384615384615,0.47115384615384615,1.0,1,optimizer_only,19,19,0.5
C,29,3,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3,optimizer_only,19,19,0.5
D,153,9,498,150,0.9803921568627451,0.30120481927710846,0.2994011976047904,0.9613003095975232,2,optimizer_only,19,19,0.5
E,186,5,208,110,0.5913978494623656,0.5288461538461539,0.3873239436619718,0.5140947399011915,2,optimizer_only,19,19,0.5
F,327,9,498,301,0.9204892966360856,0.6044176706827309,0.5744274809160306,0.8500778597024446,5,optimizer_only,19,19,0.5
G,965,8,862,859,0.8901554404145078,0.9965197215777262,0.887396694214876,0.7991765742910584,4,optimizer_only,19,19,0.5
A,141,1,141,139,0.9858156028368794,0.9858156028368794,0.972027972027972,0.9718338399189463,2,graph_only,0,0,0.5
B,98,5,98,98,1.0,1.0,1.0,1.0,1,graph_only,0,0,0.5
C,29,9,20,19,0.6551724137931034,0.95,0.6333333333333333,0.49261083743842365,3,graph_only,0,0,0.5
D,153,10,156,136,0.8888888888888888,0.8717948717948718,0.7861271676300579,0.7951496388028896,3,graph_only,0,0,0.5
E,186,6,199,186,1.0,0.9346733668341709,0.9346733668341709,1.0,1,graph_only,0,0,0.5
F,327,8,492,301,0.9204892966360856,0.6117886178861789,0.581081081081081,0.850772030543517,4,graph_only,0,0,0.5
G,965,11,787,785,0.8134715025906736,0.9974587039390089,0.811789038262668,0.6954464343301873,4,graph_only,0,0,0.5
A,141,12,139,128,0.9078014184397163,0.920863309352518,0.8421052631578947,0.8281661600810537,4,graph_only,1,0,0.5
B,98,9,288,98,1.0,0.3402777777777778,0.3402777777777778,1.0,1,graph_only,1,0,0.5
C,29,11,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,graph_only,1,0,0.5
D,153,8,452,151,0.9869281045751634,0.334070796460177,0.33259911894273125,0.9740282077743379,2,graph_only,1,0,0.5
E,186,9,288,186,1.0,0.6458333333333334,0.6458333333333334,1.0,1,graph_only,1,0,0.5
F,327,8,452,287,0.8776758409785933,0.6349557522123894,0.5833333333333334,0.7831935610964147,3,graph_only,1,0,0.5
G,965,6,1000,960,0.9948186528497409,0.96,0.9552238805970149,0.9896717046847118,3,graph_only,1,0,0.5
A,141,5,147,121,0.8581560283687943,0.8231292517006803,0.7245508982035929,0.7443768996960486,4,graph_only,2,0,0.5
B,98,2,225,98,1.0,0.43555555555555553,0.43555555555555553,1.0,1,graph_only,2,0,0.5
C,29,10,37,28,0.9655172413793104,0.7567567567567568,0.7368421052631579,0.9310344827586207,2,graph_only,2,0,0.5
D,153,11,215,152,0.9934640522875817,0.7069767441860465,0.7037037037037037,0.9869281045751634,2,graph_only,2,0,0.5
E,186,2,225,127,0.6827956989247311,0.5644444444444444,0.4471830985915493,0.5644870677128742,2,graph_only,2,0,0.5
F,327,4,406,300,0.9174311926605505,0.7389162561576355,0.6928406466512702,0.845837789159678,5,graph_only,2,0,0.5
G,965,3,795,793,0.8217616580310881,0.9974842767295597,0.8200620475698035,0.6900801926343173,5,graph_only,2,0,0.5
A,141,12,641,138,0.9787234042553191,0.21528861154446177,0.21428571428571427,0.9578520770010132,3,graph_only,3,0,0.5
B,98,14,288,98,1.0,0.3402777777777778,0.3402777777777778,1.0,1,graph_only,3,0,0.5
C,29,11,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4482758620689655,3,graph_only,3,0,0.5
D,153,12,641,151,0.9869281045751634,0.23556942277691106,0.23483670295489892,0.9740282077743379,2,graph_only,3,0,0.5
E,186,14,288,186,1.0,0.6458333333333334,0.6458333333333334,1.0,1,graph_only,3,0,0.5
F,327,12,641,303,0.926605504587156,0.47269890795631825,0.4556390977443609,0.8627417872084951,3,graph_only,3,0,0.5
G,965,13,949,917,0.950259067357513,0.9662802950474183,0.9197592778335005,0.9052673446133339,3,graph_only,3,0,0.5
A,141,12,581,134,0.950354609929078,0.2306368330464716,0.22789115646258504,0.903951367781155,3,graph_only,4,0,0.5
B,98,12,581,98,1.0,0.1686746987951807,0.1686746987951807,1.0,1,graph_only,4,0,0.5
C,29,11,1301,24,0.8275862068965517,0.018447348193697154,0.018376722817764167,0.7044334975369458,2,graph_only,4,0,0.5
D,153,12,581,152,0.9934640522875817,0.26161790017211706,0.2611683848797251,0.9869281045751634,2,graph_only,4,0,0.5
E,186,12,581,186,1.0,0.32013769363166955,0.32013769363166955,1.0,1,graph_only,4,0,0.5
F,327,11,1301,313,0.9571865443425076,0.24058416602613375,0.23802281368821293,0.9171310106752218,4,graph_only,4,0,0.5
G,965,11,1301,962,0.9968911917098445,0.7394312067640276,0.7377300613496932,0.9937888332294197,4,graph_only,4,0,0.5
A,141,7,139,126,0.8936170212765957,0.9064748201438849,0.8181818181818182,0.804660587639311,4,graph_only,5,0,0.5
B,98,5,289,98,1.0,0.3391003460207612,0.3391003460207612,1.0,1,graph_only,5,0,0.5
C,29,9,19,18,0.6206896551724138,0.9473684210526315,0.6,0.45320197044334976,3,graph_only,5,0,0.5
D,153,10,152,149,0.9738562091503268,0.9802631578947368,0.9551282051282052,0.9484864121087031,3,graph_only,5,0,0.5
E,186,5,289,186,1.0,0.643598615916955,0.643598615916955,1.0,1,graph_only,5,0,0.5
F,327,8,638,317,0.9694189602446484,0.49686520376175547,0.48919753086419754,0.9399448415601959,4,graph_only,5,0,0.5
G,965,6,662,659,0.6829015544041451,0.9954682779456193,0.6807851239669421,0.5658009588717133,3,graph_only,5,0,0.5
A,141,3,118,116,0.8226950354609929,0.9830508474576272,0.8111888111888111,0.686322188449848,4,graph_only,6,0,0.5
B,98,5,97,97,0.9897959183673469,1.0,0.9897959183673469,0.9795918367346939,2,graph_only,6,0,0.5
C,29,9,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4088669950738916,4,graph_only,6,0,0.5
D,153,6,479,145,0.9477124183006536,0.302713987473904,0.29774127310061604,0.9002407980736155,2,graph_only,6,0,0.5
E,186,2,210,186,1.0,0.8857142857142857,0.8857142857142857,1.0,1,graph_only,6,0,0.5
F,327,6,479,311,0.9510703363914373,0.6492693110647182,0.6282828282828283,0.9049361175212473,5,graph_only,6,0,0.5
G,965,7,964,955,0.9896373056994818,0.9906639004149378,0.9804928131416838,0.9794681056908822,2,graph_only,6,0,0.5
A,141,6,153,138,0.9787234042553191,0.9019607843137255,0.8846153846153846,0.9578520770010132,3,graph_only,7,0,0.5
B,98,13,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,graph_only,7,0,0.5
C,29,5,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,graph_only,7,0,0.5
D,153,8,532,153,1.0,0.287593984962406,0.287593984962406,1.0,1,graph_only,7,0,0.5
E,186,9,174,168,0.9032258064516129,0.9655172413793104,0.875,0.822377215925603,3,graph_only,7,0,0.5
F,327,8,532,308,0.9418960244648318,0.5789473684210527,0.558983666061706,0.8880321194724302,4,graph_only,7,0,0.5
G,965,12,907,898,0.9305699481865285,0.9900771775082691,0.9219712525667351,0.870505020101907,3,graph_only,7,0,0.5
A,141,0,148,138,0.9787234042553191,0.9324324324324325,0.9139072847682119,0.9578520770010132,3,graph_only,8,0,0.5
B,98,4,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,graph_only,8,0,0.5
C,29,1,18,18,0.6206896551724138,1.0,0.6206896551724138,0.46798029556650245,3,graph_only,8,0,0.5
D,153,6,313,153,1.0,0.48881789137380194,0.48881789137380194,1.0,1,graph_only,8,0,0.5
E,186,7,167,166,0.8924731182795699,0.9940119760479041,0.8877005347593583,0.8039523394362104,4,graph_only,8,0,0.5
F,327,10,1137,164,0.5015290519877675,0.1442392260334213,0.12615384615384614,0.47246768353314195,3,graph_only,8,0,0.5
G,965,10,1137,962,0.9968911917098445,0.8460861917326298,0.843859649122807,0.9937909831659966,3,graph_only,8,0,0.5
A,141,6,136,132,0.9361702127659575,0.9705882352941176,0.9103448275862069,0.8772036474164133,4,graph_only,9,0,0.5
B,98,10,99,98,1.0,0.98989898989899,0.98989898989899,1.0,1,graph_only,9,0,0.5
C,29,1,36,29,1.0,0.8055555555555556,0.8055555555555556,1.0,1,graph_only,9,0,0.5
D,153,9,521,153,1.0,0.29366602687140114,0.29366602687140114,1.0,1,graph_only,9,0,0.5
E,186,3,187,185,0.9946236559139785,0.9893048128342246,0.9840425531914894,0.989247311827957,2,graph_only,9,0,0.5
F,327,9,521,322,0.9847094801223242,0.6180422264875239,0.6121673003802282,0.9697191422299769,3,graph_only,9,0,0.5
G,965,11,920,918,0.9512953367875647,0.9978260869565218,0.9493278179937953,0.9069507449530239,4,graph_only,9,0,0.5
A,141,8,136,132,0.9361702127659575,0.9705882352941176,0.9103448275862069,0.8781155015197568,4,graph_only,10,0,0.5
B,98,2,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,graph_only,10,0,0.5
C,29,9,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3,graph_only,10,0,0.5
D,153,1,148,145,0.9477124183006536,0.9797297297297297,0.9294871794871795,0.8988648090815273,3,graph_only,10,0,0.5
E,186,7,174,169,0.9086021505376344,0.9712643678160919,0.8848167539267016,0.8320836965998256,3,graph_only,10,0,0.5
F,327,10,507,322,0.9847094801223242,0.6351084812623274,0.62890625,0.9697191422299769,3,graph_only,10,0,0.5
G,965,11,805,804,0.8331606217616581,0.9987577639751553,0.8322981366459627,0.7217036097435126,2,graph_only,10,0,0.5
A,141,11,188,137,0.9716312056737588,0.7287234042553191,0.7135416666666666,0.9441742654508612,3,graph_only,11,0,0.5
B,98,12,218,98,1.0,0.44954128440366975,0.44954128440366975,1.0,1,graph_only,11,0,0.5
C,29,9,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3,graph_only,11,0,0.5
D,153,6,408,153,1.0,0.375,0.375,1.0,1,graph_only,11,0,0.5
E,186,12,218,120,0.6451612903225806,0.5504587155963303,0.4225352112676056,0.5358907294391165,3,graph_only,11,0,0.5
F,327,6,408,172,0.5259938837920489,0.4215686274509804,0.30550621669627,0.4013245530102625,3,graph_only,11,0,0.5
G,965,8,1066,950,0.9844559585492227,0.8911819887429644,0.8788159111933395,0.9693333046675123,3,graph_only,11,0,0.5
A,141,13,112,83,0.5886524822695035,0.7410714285714286,0.48823529411764705,0.506484295845998,3,graph_only,12,0,0.5
B,98,16,237,98,1.0,0.41350210970464135,0.41350210970464135,1.0,1,graph_only,12,0,0.5
C,29,13,112,20,0.6896551724137931,0.17857142857142858,0.1652892561983471,0.5073891625615764,4,graph_only,12,0,0.5
D,153,15,417,153,1.0,0.3669064748201439,0.3669064748201439,1.0,1,graph_only,12,0,0.5
E,186,16,237,139,0.7473118279569892,0.5864978902953587,0.4894366197183099,0.6202848009299622,2,graph_only,12,0,0.5
F,327,14,1128,159,0.48623853211009177,0.14095744680851063,0.12268518518518519,0.4717359899439035,4,graph_only,12,0,0.5
G,965,14,1128,962,0.9968911917098445,0.8528368794326241,0.8505747126436781,0.9937909831659966,3,graph_only,12,0,0.5
A,141,7,171,135,0.9574468085106383,0.7894736842105263,0.7627118644067796,0.9168186423505572,4,graph_only,13,0,0.5
B,98,5,116,98,1.0,0.8448275862068966,0.8448275862068966,1.0,1,graph_only,13,0,0.5
C,29,0,17,17,0.5862068965517241,1.0,0.5862068965517241,0.41133004926108374,4,graph_only,13,0,0.5
D,153,1,328,153,1.0,0.46646341463414637,0.46646341463414637,1.0,1,graph_only,13,0,0.5
E,186,9,171,167,0.8978494623655914,0.9766081871345029,0.8789473684210526,0.81453065969195,3,graph_only,13,0,0.5
F,327,1,328,171,0.5229357798165137,0.5213414634146342,0.35330578512396693,0.43563910620813867,4,graph_only,13,0,0.5
G,965,8,1095,962,0.9968911917098445,0.8785388127853881,0.8761384335154827,0.9937909831659966,3,graph_only,13,0,0.5
A,141,6,184,134,0.950354609929078,0.7282608695652174,0.7015706806282722,0.903951367781155,3,graph_only,14,0,0.5
B,98,5,297,98,1.0,0.32996632996632996,0.32996632996632996,1.0,1,graph_only,14,0,0.5
C,29,2,37,29,1.0,0.7837837837837838,0.7837837837837838,1.0,1,graph_only,14,0,0.5
D,153,7,398,150,0.9803921568627451,0.3768844221105528,0.3740648379052369,0.9613003095975232,2,graph_only,14,0,0.5
E,186,5,297,185,0.9946236559139785,0.622895622895623,0.6208053691275168,0.989247311827957,2,graph_only,14,0,0.5
F,327,7,398,232,0.709480122324159,0.5829145728643216,0.47058823529411764,0.537438321982702,5,graph_only,14,0,0.5
G,965,9,984,944,0.9782383419689119,0.959349593495935,0.9393034825870646,0.957190462881345,5,graph_only,14,0,0.5
A,141,1,145,128,0.9078014184397163,0.8827586206896552,0.810126582278481,0.8291793313069908,3,graph_only,15,0,0.5
B,98,4,99,98,1.0,0.98989898989899,0.98989898989899,1.0,1,graph_only,15,0,0.5
C,29,7,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3,graph_only,15,0,0.5
D,153,11,363,151,0.9869281045751634,0.41597796143250687,0.4136986301369863,0.9740282077743379,2,graph_only,15,0,0.5
E,186,9,190,185,0.9946236559139785,0.9736842105263158,0.9685863874345549,0.989247311827957,2,graph_only,15,0,0.5
F,327,11,363,185,0.5657492354740061,0.509641873278237,0.36633663366336633,0.4843436333277049,4,graph_only,15,0,0.5
