archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,mode,seed,louvain_seed,gamma
F,327,10,469,268,0.8195718654434251,0.5714285714285714,0.5075757575757576,0.6956905123731262,3,combined,40,40,0.5
G,965,9,994,935,0.9689119170984456,0.9406438631790744,0.9130859375,0.9395717326338873,4,combined,40,40,0.5
A,141,14,479,140,0.9929078014184397,0.29227557411273486,0.2916666666666667,0.9858156028368794,2,combined,41,41,0.5
B,98,13,278,98,1.0,0.35251798561151076,0.35251798561151076,1.0,1,combined,41,41,0.5
C,29,14,479,17,0.5862068965517241,0.03549060542797495,0.034623217922606926,0.47044334975369456,3,combined,41,41,0.5
D,153,14,479,150,0.9803921568627451,0.31315240083507306,0.3112033195020747,0.9613003095975232,2,combined,41,41,0.5
E,186,13,278,177,0.9516129032258065,0.6366906474820144,0.6167247386759582,0.9074106364428945,2,combined,41,41,0.5
F,327,14,479,163,0.4984709480122324,0.34029227557411273,0.2534992223950233,0.48053507438884824,4,combined,41,41,0.5
G,965,12,1134,964,0.9989637305699481,0.8500881834215167,0.8493392070484581,0.9979274611398964,2,combined,41,41,0.5
A,141,4,124,120,0.851063829787234,0.967741935483871,0.8275862068965517,0.739209726443769,3,combined,42,42,0.5
B,98,1,204,98,1.0,0.4803921568627451,0.4803921568627451,1.0,1,combined,42,42,0.5
C,29,8,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,combined,42,42,0.5
D,153,7,240,151,0.9869281045751634,0.6291666666666667,0.6239669421487604,0.9739422084623323,3,combined,42,42,0.5
E,186,1,204,105,0.5645161290322581,0.5147058823529411,0.3684210526315789,0.5010171461784365,3,combined,42,42,0.5
F,327,6,330,288,0.8807339449541285,0.8727272727272727,0.7804878048780488,0.7843192435413969,4,combined,42,42,0.5
G,965,9,878,845,0.8756476683937824,0.9624145785876993,0.8466933867735471,0.7776965579515405,3,combined,42,42,0.5
A,141,2,148,140,0.9929078014184397,0.9459459459459459,0.9395973154362416,0.9858156028368794,2,combined,43,43,0.5
B,98,5,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,combined,43,43,0.5
C,29,6,33,28,0.9655172413793104,0.8484848484848485,0.8235294117647058,0.9310344827586207,2,combined,43,43,0.5
D,153,9,345,150,0.9803921568627451,0.43478260869565216,0.43103448275862066,0.9611283109735123,3,combined,43,43,0.5
E,186,10,170,167,0.8978494623655914,0.9823529411764705,0.8835978835978836,0.8126707352513804,4,combined,43,43,0.5
F,327,9,345,176,0.5382262996941896,0.5101449275362319,0.3548387096774194,0.47970957392919455,4,combined,43,43,0.5
G,965,8,1091,946,0.9803108808290155,0.8670944087992667,0.8522522522522522,0.9612215939629781,4,combined,43,43,0.5
A,141,7,152,140,0.9929078014184397,0.9210526315789473,0.9150326797385621,0.9858156028368794,2,combined,44,44,0.5
B,98,3,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,combined,44,44,0.5
C,29,12,19,19,0.6551724137931034,1.0,0.6551724137931034,0.49261083743842365,3,combined,44,44,0.5
D,153,9,289,152,0.9934640522875817,0.5259515570934256,0.5241379310344828,0.9869281045751634,2,combined,44,44,0.5
E,186,8,182,168,0.9032258064516129,0.9230769230769231,0.84,0.822377215925603,3,combined,44,44,0.5
F,327,10,674,171,0.5229357798165137,0.25370919881305637,0.20602409638554217,0.4396540402619088,4,combined,44,44,0.5
G,965,10,674,494,0.5119170984455959,0.7329376854599406,0.4314410480349345,0.4987551867219917,3,combined,44,44,0.5
A,141,4,137,92,0.6524822695035462,0.6715328467153284,0.4946236559139785,0.5124620060790274,4,combined,45,45,0.5
B,98,6,96,81,0.826530612244898,0.84375,0.7168141592920354,0.7102882390069429,2,combined,45,45,0.5
C,29,10,17,17,0.5862068965517241,1.0,0.5862068965517241,0.42610837438423643,4,combined,45,45,0.5
D,153,9,211,151,0.9869281045751634,0.7156398104265402,0.7089201877934272,0.9740282077743379,2,combined,45,45,0.5
E,186,8,181,163,0.8763440860215054,0.9005524861878453,0.7990196078431373,0.7747166521360069,4,combined,45,45,0.5
F,327,12,957,116,0.3547400611620795,0.12121212121212122,0.09931506849315068,0.28430986285435544,5,combined,45,45,0.5
G,965,12,957,839,0.8694300518134715,0.8766980146290491,0.7746999076638966,0.7724528626405521,3,combined,45,45,0.5
A,141,12,151,137,0.9716312056737588,0.9072847682119205,0.8838709677419355,0.9440729483282675,3,combined,46,46,0.5
B,98,7,206,98,1.0,0.47572815533980584,0.47572815533980584,1.0,1,combined,46,46,0.5
C,29,8,20,20,0.6896551724137931,1.0,0.6896551724137931,0.5369458128078818,3,combined,46,46,0.5
D,153,10,242,152,0.9934640522875817,0.628099173553719,0.6255144032921811,0.9869281045751634,2,combined,46,46,0.5
E,186,7,206,108,0.5806451612903226,0.5242718446601942,0.38028169014084506,0.5058994478349317,3,combined,46,46,0.5
F,327,11,606,312,0.9541284403669725,0.5148514851485149,0.5024154589371981,0.9113712688317293,3,combined,46,46,0.5
G,965,9,676,675,0.6994818652849741,0.9985207100591716,0.6987577639751553,0.5785285834067895,3,combined,46,46,0.5
A,141,11,664,140,0.9929078014184397,0.21084337349397592,0.21052631578947367,0.9858156028368794,2,combined,47,47,0.5
B,98,12,283,98,1.0,0.3462897526501767,0.3462897526501767,1.0,1,combined,47,47,0.5
C,29,11,664,27,0.9310344827586207,0.04066265060240964,0.04054054054054054,0.8669950738916257,2,combined,47,47,0.5
D,153,11,664,151,0.9869281045751634,0.22740963855421686,0.22672672672672672,0.9740282077743379,2,combined,47,47,0.5
E,186,12,283,183,0.9838709677419355,0.6466431095406361,0.6398601398601399,0.9680906713164777,2,combined,47,47,0.5
F,327,11,664,317,0.9694189602446484,0.47740963855421686,0.47032640949554894,0.9402262621714415,3,combined,47,47,0.5
G,965,14,949,938,0.9720207253886011,0.9884088514225501,0.9610655737704918,0.9454948079031669,3,combined,47,47,0.5
A,141,10,170,123,0.8723404255319149,0.7235294117647059,0.6542553191489362,0.7668693009118541,4,combined,48,48,0.5
B,98,8,252,57,0.5816326530612245,0.2261904761904762,0.1945392491467577,0.5083105407111298,2,combined,48,48,0.5
C,29,6,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4236453201970443,4,combined,48,48,0.5
D,153,3,320,149,0.9738562091503268,0.465625,0.45987654320987653,0.9487444100447197,2,combined,48,48,0.5
E,186,8,252,186,1.0,0.7380952380952381,0.7380952380952381,1.0,1,combined,48,48,0.5
F,327,3,320,151,0.4617737003058104,0.471875,0.30443548387096775,0.3796926886925198,5,combined,48,48,0.5
G,965,9,1087,954,0.9886010362694301,0.8776448942042319,0.8688524590163934,0.9773826672113173,4,combined,48,48,0.5
A,141,3,191,138,0.9787234042553191,0.7225130890052356,0.711340206185567,0.9580547112462006,2,combined,49,49,0.5
B,98,1,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,combined,49,49,0.5
C,29,6,26,25,0.8620689655172413,0.9615384615384616,0.8333333333333334,0.7463054187192119,3,combined,49,49,0.5
D,153,4,422,153,1.0,0.36255924170616116,0.36255924170616116,1.0,1,combined,49,49,0.5
E,186,10,168,167,0.8978494623655914,0.9940476190476191,0.893048128342246,0.8136006974716652,3,combined,49,49,0.5
F,327,4,422,250,0.764525993883792,0.5924170616113744,0.501002004008016,0.6134969325153374,4,combined,49,49,0.5
G,965,5,968,940,0.9740932642487047,0.9710743801652892,0.94662638469285,0.9490787521768108,5,combined,49,49,0.5
