ARI_all_supra,NMI_all_supra,ARI_Dec2024,NMI_Dec2024,K_supra,K_Dec2024,mean_switches,median_switches,share_zero_switches,share_le2_switches,mean_adjacent_ARI,mean_adjacent_NMI,seed,canonical_base_edge_sha256,keep_mask_sha256,jitter_array_sha256,perturbed_intralayer_edge_sha256,temporal_edge_sha256,final_supra_edge_weight_sha256,final_supra_graph_sha256,node_count,base_intralayer_count,retained_intralayer_count,temporal_edge_count,edge_count
0.5097345000759614,0.60204481754668,0.7837939143542038,0.7848901050491044,14,11,2.249474789915966,2.0,0.008403361344537815,0.6822478991596639,0.8366406058649649,0.850749067254288,10,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,92f2edb8f106e53719eb13600cda495f5fec971c63cdf8ac8381ce84d398afe8,eedd5db35c09f6d36428c15b8f83d62dcb8d2fde4229a97b37da9e8cfabf45c3,7b04ebe5fa84bc0c6d22ed4e3aedc667314d9793197fe8efd8a5e6169a97fb61,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,7d601e378e8fd313e794df0650573b3b837c447f55cdd5b728b2573547234d7e,b689bbdc47d9af4bcb3563bd47726b47e479a9c9f1391fb2f745d1cb52f61e38,45696,283120,269039,43792,312831
0.5196349599590475,0.5905129919840943,0.6904824177041757,0.7119668459334351,14,11,1.789390756302521,2.0,0.007352941176470588,0.8277310924369747,0.8648316380566363,0.8627980748934497,11,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,b7ecaef0baf0b957b9f4530fca35336baf20641568773b44aece867258655774,2521cb477831ac0e91af2ff9ac937c3e27f61d51722261d0fd6f00a1c2e1e553,c3dcab302e99c004b1433e3894f5d83b73b135fe340c45fdecb77322da874dd8,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,386acb5dd89e26c099335928615a058d39d4cb68096160c6a0d2cf85dbd77fa5,b23ebbd99052b655f48032584cc3582f52d0000d9c0805d0897b6b86cec25a3e,45696,283120,268939,43792,312731
0.4195297185504736,0.526375837469669,0.594358260211063,0.5889120085849879,13,9,2.8592436974789917,2.0,0.0021008403361344537,0.5336134453781513,0.8032243406774411,0.8024897699653136,12,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,6cf0733f079d3395ac4a63124c695bd93bb1e84db92f4a8e3c0c0072e3ae3dea,424adc6488e24a3820c3fa353aea09f998ae6c2e9fa1daa6e98d5d3d814829bc,333b6ab2aa735f75aebcb880f486f48a2d8dc2f66f78edc44f1f91cfa0952599,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,4b7d5a2ee2f054925270fcd2aa47a813848e67c59b3c0a24051d33e2391643f0,09ad3b8225a8c334eac6f450899aaaadba4f2e454134f822c2e7ecf865dc0ced,45696,283120,268990,43792,312782
0.5278045815054652,0.6492746832332784,0.758017011830043,0.7299714716323042,10,8,1.4915966386554622,2.0,0.2599789915966387,0.8602941176470589,0.8549317876065728,0.8798681526337948,13,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,551a30b212566a77d11af16c0a22db7fba357b678be32a14fb32ac61b1e2a02d,f1bdcad6a7cc638649cba4d81aa8ad69949336adf1f8d970fa0e018b94d2cd42,ca6df85d3e67971e33c0f0a8c77e8363629590ffa0ed2843d9fbfb8b2e7725bb,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,520e90491a13a64cdba750017e6f03044ad93012da519f760b9a8ad63ef7bcc8,0bc8ec6afe9c646af6da24f14b6b52af63ae17f093f57ad30b4285a85371c14d,45696,283120,268998,43792,312790
0.6068374988415791,0.64394297744072,0.7908241367552135,0.731609197219563,13,10,1.4464285714285714,1.0,0.08455882352941177,0.8807773109243697,0.87693324415482,0.880885434379762,14,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,2eb4b1b88944d3208695e46acf24958baf5d935d516ee033f3e5145bf9a619e7,4b7662e1d6b5d82773c3c45b2e9458b8150953210573b052c597b20cd2d5c9a1,2df93394ad383bae94150cc4b4ebbd685fa909fc1a690e599087ba13c69b1354,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,dab7a1a7676cd0a6586609a52edf41d273d1435c69b4cc5787cabd5db73c935f,8580a34eea6af7e0cd184dda9eca0acf4d75d9fd49f3fc8094a323becc900c4a,45696,283120,268873,43792,312665
0.5050934573544422,0.659901224903559,0.890180122100349,0.8484470995528867,12,9,1.521533613445378,2.0,0.25,0.8629201680672269,0.8599267914445337,0.884410788563495,15,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,486481c611a3a73348e5dea976f1ba7a502a2d610b9379a94ecf3b21198d612a,195f2686b65b71d41c575bff4597ba0ce202d8435f01d2dc3413b62c93264920,f950158949d5089e3b848288ae61609baec52d398143948b377ab027a16f9726,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,0f82591d86b18859e54b3f3af126f4e9c012241767595ba794c9eae231fc2608,c39cd780369648fe1048896120e647d944721f9c2a5f49df022bf3f340048bc7,45696,283120,268980,43792,312772
0.641304987391102,0.661957383441797,0.6927876544641225,0.6929453520771891,12,10,1.3644957983193278,1.0,0.06932773109243698,0.8928571428571429,0.8813719790601833,0.8823464006075601,16,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,2a7ff512cce640bc4ed0accbb32ffb2b678de4ae71bc7fd3a55222d3fcded2e0,1b4bcbfd9002372bc772c23d7bd3a8480a83f9601c640b8b90d50aaffefb9ac9,04864f4db0d68ec9bd45ce4dc12e3f5846cddad79a0c4005c9c6bf451a0f2a7c,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,1540cd1f862d97dd378829fa9f916d8c9ec08f3321ea19fba33a773c928db130,04e9b9fe70808851b3e79afe04ea86bb8c733cafd49e45c94fa29b1205a69a0b,45696,283120,268966,43792,312758
0.4819367236024447,0.6282345782135419,0.8397549908713275,0.8017432901507823,12,9,1.6869747899159664,2.0,0.148109243697479,0.819327731092437,0.8567321331288278,0.8795102291623004,17,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,024a51589f1055e2a8e283d5291a6ca00f7478a0818829779242c1193e253410,25b5167f0f7c1793dea38191c16211caad914df428b95754a31460971ac3ec0d,b77cc7f9e093718e899dc544fc4afdc7c0584c84203e4b4a82e1e11b434e5eac,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,4e8ae616a8f18a34445af15495fad9ef4e2f008af4e3548c91a48d4b3da50e07,6601936b7151f7b2ce057d7cb32bda613fef4f90c0475e8b4ab414ebfdca0df0,45696,283120,268993,43792,312785
0.4963078259337435,0.6231791330922372,0.7308863445729172,0.7561880920123076,14,11,1.7195378151260505,2.0,0.11081932773109243,0.8503151260504201,0.8610031445587522,0.8788145842566216,18,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,446f9d6b71d45ea43e4e36df5df4d071ffb506efad1ee4517a477cd021678336,1b75ede040bb32822eb10aa022f44fce2cd50cd7b499bad495bccede7af7b7f3,aa1213e38bb39da2898fe7ed9e0488f0e76de7ad358894fa23fab4a97b2beb7e,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,4cda84ec9d0c7bfd947c921c3ca7dcc3145fdb94d871d2aa909a3363d0d8d020,31a93646d54df15eea11963aa2d195ec9aaae449b7a213aa2a7da6b83ed34ccb,45696,283120,269180,43792,312972
0.49191636115403753,0.6234069628177372,0.6819440339248058,0.686284710017181,13,10,2.3781512605042017,2.0,0.0031512605042016808,0.7195378151260504,0.8195496761765438,0.8389760032447855,19,132d7a6b7c163ea04d69bc93df184b89b97e9d46495939d582b679cf227e9087,bc3a11d2423c9637c62e42897b6cf3b41083a75b49d24c9cac4d826836b6737b,e4dab71aa003c5ca5bd401d070c4d98cdb124eac36631241916645d250115761,499dab84070b41b7dfa63cfeccbd7d9b65c26dad57914e9a11e0771a5978e5e9,a4970bcc696bae2fa02cbfbffe182a9908f3d72a974b2a29ab7b8f07bac03de1,bf387cd6b58a8ab8f1c939aa9d747f5416b23d5519ffbf8ebff16bd892bb5a87,9fe53951e2975069152c27287b5a9e73d7a8f0f2c88edde8db1ec5dd63e08c7e,45696,283120,268834,43792,312626
