month,ARI,NMI,K,seed,adjacent_ARI,adjacent_NMI,same_label_share
2023-01-01,0.7405955504664945,0.7213620567061658,8,0,,,
2023-02-01,0.7405955504664945,0.7213620567061658,8,0,1.0,1.0,1.0
2023-03-01,0.7330369894402506,0.720133391845688,9,0,0.8910460051085102,0.8864246480829167,0.9564075630252101
2023-04-01,0.6964002383143345,0.7175367700195938,9,0,0.8836773064763614,0.8773039201704161,0.9506302521008403
2023-05-01,0.6386716698149021,0.6977571030752585,9,0,0.8914312387876564,0.8845294059322144,0.9543067226890757
2023-06-01,0.6050304366355284,0.6863457475066955,9,0,0.9007974004065314,0.9024562862302068,0.9621848739495799
2023-07-01,0.5794516393912612,0.6832629672492582,10,0,0.9474338521174505,0.9365658830983964,0.976890756302521
2023-08-01,0.5626710695355179,0.6755675491947376,11,0,0.8995162082460202,0.8874036207582716,0.9448529411764706
2023-09-01,0.5575202005514438,0.6677589677336839,12,0,0.8936437975148753,0.8750135954867936,0.9269957983193278
2023-10-01,0.5888160537857239,0.6782284456222812,12,0,0.8587880549733934,0.8669937258932578,0.9217436974789915
2023-11-01,0.5631345574508407,0.6697653233399639,12,0,0.8289611926389902,0.8572835046973651,0.9149159663865546
2023-12-01,0.5535055040524909,0.6595093850528856,12,0,0.7624204745023314,0.832109299718203,0.8834033613445378
2024-01-01,0.5488584302864908,0.6425488357596617,12,0,0.7211816269005343,0.8171070738170031,0.832983193277311
2024-02-01,0.550266970858072,0.6647215880049901,11,0,0.7376026904929344,0.8062785314346007,0.8130252100840336
2024-03-01,0.5059051930126426,0.6725167109694503,10,0,0.7952837405351858,0.8256536002543349,0.8760504201680672
2024-04-01,0.39159545928427164,0.6385060461032892,10,0,0.7513635114930206,0.8133821197940722,0.8897058823529411
2024-05-01,0.374108469308736,0.6292087260324251,10,0,0.7831073317661237,0.8303148971044111,0.907563025210084
2024-06-01,0.3967045457756566,0.652372741563297,9,0,0.8404616927344915,0.8553033576693521,0.9301470588235294
2024-07-01,0.4405822338022162,0.680761909567847,9,0,0.891602482207178,0.8874006663196786,0.9532563025210085
2024-08-01,0.5070991875956193,0.7174719161990223,9,0,0.8843987187380058,0.8861995201741507,0.9485294117647058
2024-09-01,0.5779836624737762,0.7648220507533698,9,0,0.8838129322010083,0.8807447153164235,0.9501050420168067
2024-10-01,0.6367368161382797,0.7778060992195556,9,0,0.8914907960752559,0.9035831717050922,0.9627100840336135
2024-11-01,0.7047769940063069,0.7921104565231675,9,0,0.884694289146491,0.9014004218898549,0.9595588235294118
2024-12-01,0.7047769940063069,0.7921104565231675,9,0,1.0,1.0,1.0
2023-01-01,0.5159332914588964,0.6439024621820848,5,1,,,
2023-02-01,0.5159332914588964,0.6439024621820848,5,1,1.0,1.0,1.0
2023-03-01,0.5305898874375966,0.6329886874980668,5,1,0.9606976456430985,0.9182129115676637,0.9810924369747899
2023-04-01,0.5839813219305622,0.6623590011196903,5,1,0.938333321711986,0.9057540327714806,0.976890756302521
2023-05-01,0.6687390325289687,0.7003360696551332,5,1,0.8671516999380877,0.8641611075217194,0.9527310924369747
2023-06-01,0.6648070853294494,0.7020880598308558,6,1,0.9074051490525951,0.8948463643370829,0.9684873949579832
2023-07-01,0.5924028921886435,0.6736790364927957,6,1,0.9148097106857488,0.9058828386927562,0.9721638655462185
2023-08-01,0.5382849765984999,0.6632298389209038,6,1,0.9253330717765755,0.9111530540288536,0.9747899159663865
2023-09-01,0.5083848797726219,0.6547625963288518,6,1,0.9081903213549287,0.8980623278171354,0.970063025210084
2023-10-01,0.4859996246363415,0.6428165861224713,6,1,0.9254860492774656,0.9192449406220253,0.9763655462184874
2023-11-01,0.46461568589162866,0.6324460868757279,9,1,0.9340893445259442,0.9098920863507897,0.9758403361344538
2023-12-01,0.4292283860706024,0.614227047865922,12,1,0.9861761802212458,0.9786938728058295,0.9910714285714286
2024-01-01,0.0029746336571211764,0.06193178664952666,12,1,0.017667089216937062,0.1162066308663244,0.037815126050420166
2024-02-01,0.48093463888811905,0.6273573327345112,12,1,0.020124969461517005,0.1358036155425946,0.27836134453781514
2024-03-01,0.48178567146551315,0.6460921357878311,11,1,0.9796472207208012,0.9706246343627799,0.9852941176470589
2024-04-01,0.5012388319488174,0.6526000029596652,8,1,0.6841681299678947,0.8110385081083038,0.8482142857142857
2024-05-01,0.7280394499572169,0.7057532331984799,8,1,0.7828001380595401,0.8295063517021269,0.8891806722689075
2024-06-01,0.7556942080736905,0.7008471302131443,8,1,0.9302799289428624,0.9050564834707426,0.9711134453781513
2024-07-01,0.7544646215165193,0.6908988437606042,8,1,0.9192354566760358,0.8839441714776648,0.9690126050420168
2024-08-01,0.7675427284393249,0.7111798134855275,8,1,0.9451487593384928,0.9157355187230453,0.9789915966386554
2024-09-01,0.7985431347944533,0.7321223997189025,8,1,0.952639321856717,0.9249119874281614,0.9821428571428571
2024-10-01,0.8009686204737674,0.7345286658522246,8,1,0.9334538477156463,0.9125197550200875,0.9763655462184874
2024-11-01,0.7778993506618662,0.7241157747816637,8,1,0.9283026916775448,0.8980271529884148,0.9721638655462185
2024-12-01,0.7778993506618662,0.7241157747816637,8,1,1.0,1.0,1.0
2023-01-01,0.6192831064649155,0.6968327880717273,7,2,,,
2023-02-01,0.6192831064649155,0.6968327880717273,7,2,1.0,1.0,1.0
2023-03-01,0.5998572997210486,0.6688183891672147,7,2,0.8544430105891675,0.8605268901597368,0.9427521008403361
2023-04-01,0.5995653624153455,0.6636110113620699,7,2,0.890273840637218,0.876566023678445,0.9548319327731093
2023-05-01,0.6068161941725082,0.6536648675928217,7,2,0.8981740619595583,0.8975329371613077,0.960609243697479
2023-06-01,0.618941413823897,0.6694145884954292,8,2,0.9034206693448823,0.8915818918297179,0.9600840336134454
2023-07-01,0.5943280559260324,0.6667660493245423,9,2,0.92782854808676,0.9022050355968525,0.9642857142857143
2023-08-01,0.5659192123380552,0.6691943676979646,10,2,0.926707564284024,0.8995732663665225,0.9653361344537815
2023-09-01,0.5559350462521988,0.6713572363063955,11,2,0.9017519683224355,0.891170159335228,0.9553571428571429
2023-10-01,0.5409503531682338,0.6643922297442336,11,2,0.871581083215879,0.8823484470857497,0.9432773109243697
2023-11-01,0.526990450644855,0.6664555043887771,12,2,0.8547034730418916,0.8548477456977611,0.9290966386554622
2023-12-01,0.48061232358705597,0.651115622962873,12,2,0.8794232490222983,0.8767852863273995,0.9348739495798319
2024-01-01,0.43213539617763935,0.6321794027891131,12,2,0.8431517732410478,0.851364740026084,0.9206932773109243
2024-02-01,0.4264650878064935,0.6047270522633569,12,2,0.8186047090113964,0.8446455605517228,0.8907563025210085
