scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95,share_ge_0.90,share_ge_0.80,share_ge_0.70,share_ge_0.50
run,all,ARI_all_supra,50,0.4983548697840434,0.504580439243847,0.07113068827801802,0.27620602128236005,0.6516446948106119,0.39016338078485147,0.4192537873005575,0.4725876151056726,0.5278977729422258,0.5792403364766435,0.6065145770451477,,,,
run,all,NMI_all_supra,50,0.6190770924000354,0.6272836144062095,0.04787684369935761,0.4914327452291461,0.6906535551246543,0.5044324075376877,0.5634248781448229,0.598596955868454,0.6496884555644895,0.6664789839466433,0.6732933340262225,,,,
run,all,ARI_Dec2024,50,0.6757362312689855,0.7282854135059733,0.17847992892981976,0.01624400083104674,0.890180122100349,0.4432267887029073,0.4628165748583243,0.6289720871109423,0.7861857333083933,0.835892776419766,0.8471820810769681,,,,
run,all,NMI_Dec2024,50,0.7022920362917866,0.7307903344259337,0.14631518986837325,0.04921473649592971,0.8484470995528867,0.5936501573951887,0.6395845788243252,0.6793210070988821,0.7776022900895796,0.7929924006674953,0.8122575775911332,,,,
run,all,K_supra,50,12.54,12.5,1.5414014296564469,9.0,15.0,10.0,10.0,12.0,14.0,15.0,15.0,,,,
run,all,K_Dec2024,50,9.3,9.0,1.0546302185881002,7.0,12.0,8.0,8.0,9.0,10.0,11.0,11.0,,,,
run,all,mean_switches,50,1.9123004201680676,1.7205882352941178,0.5925067220840599,1.2347689075630253,3.7300420168067228,1.2674894957983194,1.3638655462184874,1.5069590336134453,2.2624737394957983,2.5727941176470592,3.1432773109243684,,,,
run,all,median_switches,50,1.82,2.0,0.6288960200872896,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,,,,
run,all,share_zero_switches,50,0.1138235294117647,0.13707983193277312,0.09725713262504289,0.0,0.3072478991596639,0.00023634453781512613,0.0005252100840336134,0.006433823529411764,0.19931722689075632,0.2357668067226891,0.25346638655462184,,,,
run,all,share_le2_switches,50,0.7463970588235295,0.8156512605042017,0.21498192133047586,0.011029411764705883,0.9180672268907563,0.15341386554621853,0.5327205882352941,0.758797268907563,0.8554359243697478,0.8815126050420168,0.8923844537815127,,,,
run,all,mean_adjacent_ARI,50,0.8470157114655467,0.853088573979913,0.03088581095924189,0.733461127579164,0.8930166897839291,0.7918604032679316,0.8126583157994912,0.8368014688518286,0.8654447311932911,0.8773771176453563,0.8835253074492374,,,,
run,all,mean_adjacent_NMI,50,0.862064885748481,0.8763755263037264,0.03176220433060077,0.7599171407552474,0.8981917900993764,0.7892477514152724,0.8297623570720379,0.8457898566963772,0.8819949970899363,0.887203252675719,0.8906129937287394,,,,
run,all,node_count,50,45696.0,45696.0,0.0,45696.0,45696.0,45696.0,45696.0,45696.0,45696.0,45696.0,45696.0,,,,
run,all,base_intralayer_count,50,283120.0,283120.0,0.0,283120.0,283120.0,283120.0,283120.0,283120.0,283120.0,283120.0,283120.0,,,,
run,all,retained_intralayer_count,50,268941.44,268950.0,114.71173453843475,268698.0,269208.0,268768.85,268808.1,268857.25,268999.5,269075.9,269153.3,,,,
run,all,temporal_edge_count,50,43792.0,43792.0,0.0,43792.0,43792.0,43792.0,43792.0,43792.0,43792.0,43792.0,43792.0,,,,
run,all,edge_count,50,312733.44,312742.0,114.71173453843475,312490.0,313000.0,312560.85,312600.1,312649.25,312791.5,312867.9,312945.3,,,,
archetype,A,retention,50,0.9412765957446808,0.9574468085106383,0.05679256274347312,0.6524822695035462,0.9929078014184397,0.8723404255319149,0.8794326241134752,0.9219858156028369,0.9787234042553191,0.9929078014184397,0.9929078014184397,0.82,0.98,0.98,1.0
archetype,A,precision,50,0.7268135437384217,0.8852853243208112,0.29621548169150463,0.07032498668087374,0.9858156028368794,0.2262966049838584,0.27430351710519296,0.48998352515845595,0.9593125734430081,0.97730625,0.9852450980392157,,,,
archetype,A,Jaccard,50,0.6882053842730724,0.8347820813455162,0.27701203674251346,0.06998939554612937,0.972027972027972,0.22592933382407068,0.2704029649252401,0.44176736908685377,0.8867167600611309,0.9320624580898553,0.9462670678083777,,,,
archetype,A,within_pair_coassignment,50,0.8926849037487335,0.917274569402229,0.08837055671045842,0.5124620060790274,0.9858156028368794,0.7682826747720365,0.7810131712259372,0.8523302938196555,0.9578520770010132,0.9858156028368794,0.9858156028368794,,,,
archetype,A,n_destinations,50,3.2,3.0,0.8081220356417685,2.0,5.0,2.0,2.0,3.0,4.0,4.0,4.549999999999997,,,,
archetype,B,retention,50,0.9720408163265306,1.0,0.09710708989829739,0.5510204081632653,1.0,0.7535714285714286,0.9887755102040816,1.0,1.0,1.0,1.0,0.92,0.94,0.94,1.0
