pair,full_mean,leave_one_out_mean_min,leave_one_out_mean_max,share_lt_0_1,share_gt_0_5,share_gt_0_9
B/E,0.4655859117840684,0.4546795018204779,0.47508766508578404,0.4,0.48,0.28
D/F,0.4347980252243609,0.4236446872326913,0.4434307871976517,0.22,0.36,0.12
F/G,0.317797784855255,0.30418760079018536,0.3235875630853187,0.22,0.18,0.04
A/D,0.230527047698512,0.21496825680626858,0.23522600529573529,0.76,0.22,0.2
