metric,n_B,n_other_federal,B_median,other_federal_median,effect_size,effect_definition,median_difference,p_value,uncertainty,multiplicity_correction,direction,provenance
level_z,98,142,2.1827041129119156,1.676189072576432,0.8419085944236849,Cliff delta B minus other federal,0.5065150403354837,,historical inferential output unavailable; no new inference,not applicable to descriptive effect; historical correction unavailable,B higher,Round16 descriptive recomputation from fixed December features and existing admin_form parser
Food,98,142,0.2877491076597654,0.3284413769683041,-0.9544409313020983,Cliff delta B minus other federal,-0.0406922693085387,,historical inferential output unavailable; no new inference,not applicable to descriptive effect; historical correction unavailable,B lower,Round16 descriptive recomputation from fixed December features and existing admin_form parser
Health,98,142,0.055194345859366355,0.05011162594084807,0.676918654785858,Cliff delta B minus other federal,0.005082719918518282,,historical inferential output unavailable; no new inference,not applicable to descriptive effect; historical correction unavailable,B higher,Round16 descriptive recomputation from fixed December features and existing admin_form parser
Catering,98,142,0.07563544113380163,0.06406199759127296,0.8866053463638977,Cliff delta B minus other federal,0.011573443542528677,,historical inferential output unavailable; no new inference,not applicable to descriptive effect; historical correction unavailable,B higher,Round16 descriptive recomputation from fixed December features and existing admin_form parser
Marketplace,98,142,0.14600335927461358,0.1657552238033727,-0.8690715722908882,Cliff delta B minus other federal,-0.019751864528759128,,historical inferential output unavailable; no new inference,not applicable to descriptive effect; historical correction unavailable,B lower,Round16 descriptive recomputation from fixed December features and existing admin_form parser
Transport,98,142,0.06391703744703207,0.0641702127105192,-0.07099741304972693,Cliff delta B minus other federal,-0.00025317526348712927,,historical inferential output unavailable; no new inference,not applicable to descriptive effect; historical correction unavailable,no meaningful separation under declared |delta|<.147 convention,Round16 descriptive recomputation from fixed December features and existing admin_form parser
Other,98,142,0.36685162599951565,0.32333565078714294,0.9772923253808565,Cliff delta B minus other federal,0.043515975212372715,,historical inferential output unavailable; no new inference,not applicable to descriptive effect; historical correction unavailable,B higher,Round16 descriptive recomputation from fixed December features and existing admin_form parser
