archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,seed
C,29,11,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4113300492610837,4,18
D,153,7,306,150,0.9803921568627452,0.4901960784313725,0.4854368932038835,0.9613003095975232,2,18
E,186,12,171,167,0.8978494623655914,0.9766081871345028,0.8789473684210526,0.8126707352513804,4,18
F,327,13,1130,163,0.4984709480122324,0.1442477876106194,0.1259659969088098,0.4637436445845294,4,18
G,965,13,1130,963,0.9979274611398964,0.852212389380531,0.8507067137809188,0.9958570722163697,3,18
A,141,12,470,137,0.9716312056737588,0.2914893617021276,0.2890295358649789,0.9440729483282676,3,19
B,98,11,285,98,1.0,0.343859649122807,0.343859649122807,1.0,1,19
C,29,2,20,18,0.6206896551724138,0.9,0.5806451612903226,0.4679802955665024,3,19
D,153,12,470,153,1.0,0.325531914893617,0.325531914893617,1.0,1,19
E,186,11,285,185,0.9946236559139784,0.6491228070175439,0.6468531468531469,0.989247311827957,2,19
F,327,12,470,179,0.5474006116207951,0.3808510638297872,0.2896440129449838,0.4974953565599144,3,19
G,965,10,1120,964,0.998963730569948,0.8607142857142858,0.8599464763603925,0.9979274611398964,2,19
A,141,13,145,132,0.9361702127659576,0.9103448275862068,0.8571428571428571,0.8772036474164133,4,20
B,98,6,162,98,1.0,0.6049382716049383,0.6049382716049383,1.0,1,20
C,29,8,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4310344827586206,3,20
D,153,5,152,148,0.9673202614379084,0.9736842105263158,0.9426751592356688,0.936016511867905,3,20
E,186,7,135,121,0.6505376344086021,0.8962962962962963,0.605,0.5391455972101133,3,20
F,327,12,549,302,0.9235474006116208,0.5500910746812386,0.5261324041811847,0.8544117371156263,5,20
G,965,10,607,604,0.6259067357512953,0.9950576606260296,0.6239669421487604,0.469571947627545,3,20
A,141,4,144,134,0.950354609929078,0.9305555555555556,0.8874172185430463,0.9034447821681864,5,21
B,98,2,98,98,1.0,1.0,1.0,1.0,1,21
C,29,10,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4064039408866995,5,21
D,153,11,153,148,0.9673202614379084,0.9673202614379084,0.9367088607594936,0.935844513243894,3,21
E,186,8,190,185,0.9946236559139784,0.9736842105263158,0.9685863874345548,0.989247311827957,2,21
F,327,7,315,302,0.9235474006116208,0.9587301587301588,0.888235294117647,0.8546931577268719,5,21
G,965,9,846,832,0.8621761658031089,0.983451536643026,0.849846782431052,0.7596972889299766,3,21
A,141,11,571,140,0.9929078014184396,0.2451838879159369,0.2447552447552447,0.9858156028368794,2,22
B,98,12,214,98,1.0,0.4579439252336448,0.4579439252336448,1.0,1,22
C,29,3,19,19,0.6551724137931034,1.0,0.6551724137931034,0.4556650246305418,4,22
D,153,11,571,153,1.0,0.2679509632224168,0.2679509632224168,1.0,1,22
E,186,12,214,116,0.6236559139784946,0.5420560747663551,0.4084507042253521,0.5280441732054635,2,22
F,327,11,571,188,0.5749235474006116,0.329246935201401,0.2647887323943662,0.5045871559633027,3,22
G,965,10,1090,947,0.9813471502590674,0.8688073394495412,0.8546931407942239,0.9633156321888504,3,22
A,141,10,134,130,0.9219858156028368,0.9701492537313432,0.896551724137931,0.8509625126646403,5,23
B,98,6,286,98,1.0,0.3426573426573426,0.3426573426573426,1.0,1,23
C,29,5,51,26,0.896551724137931,0.5098039215686274,0.4814814814814814,0.8029556650246306,3,23
D,153,9,485,153,1.0,0.3154639175257732,0.3154639175257732,1.0,1,23
E,186,6,286,185,0.9946236559139784,0.6468531468531469,0.6445993031358885,0.989247311827957,2,23
F,327,9,485,302,0.9235474006116208,0.622680412371134,0.592156862745098,0.8554998968124425,4,23
G,965,8,943,937,0.9709844559585492,0.9936373276776246,0.964984552008239,0.9434330187259476,3,23
A,141,6,1864,132,0.9361702127659576,0.0708154506437768,0.0704751735184196,0.8788247213779129,3,24
B,98,6,1864,97,0.9897959183673468,0.052038626609442,0.0520107238605898,0.979591836734694,2,24
C,29,6,1864,20,0.6896551724137931,0.0107296137339055,0.0106780565936999,0.5123152709359606,3,24
D,153,6,1864,152,0.9934640522875816,0.0815450643776824,0.0815013404825737,0.9869281045751634,2,24
E,186,6,1864,186,1.0,0.0997854077253218,0.0997854077253218,1.0,1,24
F,327,6,1864,318,0.9724770642201837,0.1706008583690987,0.1697810998398291,0.9461548563816814,3,24
G,965,6,1864,959,0.9937823834196892,0.5144849785407726,0.5128342245989305,0.9876185152538,3,24
A,141,10,147,132,0.9361702127659576,0.8979591836734694,0.8461538461538461,0.8772036474164133,4,25
B,98,0,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,25
C,29,4,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4261083743842364,4,25
D,153,1,167,148,0.9673202614379084,0.8862275449101796,0.8604651162790697,0.936016511867905,3,25
E,186,7,178,170,0.913978494623656,0.9550561797752808,0.8762886597938144,0.8419064225515839,2,25
F,327,8,329,284,0.8685015290519877,0.8632218844984803,0.7634408602150538,0.7594041387591227,5,25
G,965,9,795,791,0.8196891191709844,0.9949685534591196,0.8163054695562435,0.6922860275621869,4,25
A,141,6,138,130,0.9219858156028368,0.9420289855072465,0.87248322147651,0.8524822695035461,4,26
B,98,1,150,98,1.0,0.6533333333333333,0.6533333333333333,1.0,1,26
C,29,8,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4088669950738916,4,26
D,153,3,147,146,0.954248366013072,0.9931972789115646,0.948051948051948,0.9110767113863087,3,26
E,186,9,143,133,0.7150537634408602,0.93006993006993,0.6785714285714286,0.5872711421098518,3,26
F,327,5,415,306,0.9357798165137616,0.7373493975903614,0.7018348623853211,0.8770754770079361,4,26
G,965,7,891,877,0.9088082901554404,0.9842873176206508,0.8958120531154239,0.8340764947434051,2,26
A,141,2,172,138,0.9787234042553192,0.8023255813953488,0.7885714285714286,0.9578520770010132,3,27
B,98,1,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,27
C,29,6,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4162561576354679,4,27
