municipality,month,Total,level_z,Food,Health,Catering,Marketplace,Transport,Other,case,temporal_community_id
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-01-01,41112,2.5484404980464466,0.325987546215217,0.06397158980346371,0.08591165596419537,0.08126581046896283,0.075379451255108,0.36748394629305303,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-02-01,42410,2.51811011848653,0.32447535958500356,0.06804998821032775,0.08483848149021457,0.08755010610705022,0.0735203961329875,0.3615656684744164,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-03-01,46223,2.3911998492704725,0.319927308915475,0.0662873461263873,0.08482789953053675,0.08973887458624494,0.07074400190381412,0.3684745689375418,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-04-01,45275,2.4075123070507036,0.3173495306460519,0.0660187741579238,0.08596355604638321,0.08845941468801767,0.07478741027056875,0.3674213141910546,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-05-01,46272,2.4253803705565806,0.3188969571230982,0.061095262793914244,0.08880100276625173,0.08646697786998617,0.07378112033195021,0.3709586791147995,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-06-01,46848,2.3903411398808183,0.3126707650273224,0.06049351092896175,0.09039873633879782,0.08649248633879782,0.07599043715846994,0.3739540642076502,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-07-01,48517,2.3549407253494317,0.30653173114578397,0.056371993321928396,0.089597460683884,0.08856689407836428,0.07652987612589401,0.3824020446441454,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-08-01,49530,2.3078928770805307,0.2971128608923885,0.05776297193620028,0.09079345850999394,0.09305471431455684,0.07837674136886735,0.3828992529779931,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-09-01,47826,2.3825768695574263,0.302366913394388,0.060991929076234686,0.0904947099903818,0.10266382302513277,0.07617195667628486,0.36731066783757793,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-10-01,50297,2.3790568579519573,0.29258206254846214,0.06030180726484681,0.08121756764816987,0.11199475117800266,0.07374197268226733,0.38016183867825126,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-11-01,52085,2.5517065373269205,0.28841317077853507,0.06038206777383124,0.0790054718249016,0.13787078813477968,0.06948257655755016,0.36484592493040224,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2023-12-01,58178,2.3693333260569234,0.31388153597579843,0.05548489119598474,0.07167657877548214,0.1354292000412527,0.06468080717797105,0.3588469868335109,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-01-01,47757,2.403198118193598,0.3076407647046506,0.060765961010951275,0.08545344138032121,0.11323994388257219,0.07167535649224198,0.3612245325292627,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-02-01,50840,2.4393323412967622,0.30271439811172307,0.0651652242328875,0.08341856805664831,0.12086939417781274,0.06805664830841857,0.3597757671125097,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-03-01,55972,2.371580319403301,0.3024012006003001,0.06465732866433217,0.08382762809976417,0.11966697634531552,0.0647823911955978,0.36466447509469024,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-04-01,55154,2.4522031585099513,0.2992167385865033,0.0659607644051202,0.08775428799361787,0.11634695579649708,0.07004025093374913,0.3606810022845124,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-05-01,55889,2.3930824153741863,0.3033155003667985,0.05836568913381882,0.0902861028109288,0.11440533915439532,0.07004956252572063,0.363577806008338,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-06-01,56402,2.3469124968789816,0.3013013722917627,0.056646927413921494,0.09403921846743023,0.11155632778979468,0.07400446792666927,0.36245168611042156,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-07-01,57461,2.303381853159926,0.2953133429630532,0.05410626337863943,0.09314143506030177,0.10997024068498634,0.07620821078644646,0.37126050712657277,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-08-01,58048,2.2716606565685242,0.2766848125689085,0.05299062844542447,0.09435294928335171,0.11020190187431092,0.07275013781697905,0.3930195700110254,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-09-01,55611,2.287405119292022,0.28030425635216055,0.05703907500314686,0.0914747082411753,0.11713509917102731,0.07243171315027602,0.38161514808221386,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-10-01,57984,2.306272635939802,0.27999103200883,0.060758140176600445,0.0897833885209713,0.1287251655629139,0.07188189845474614,0.3688603752759382,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-11-01,58882,2.3445670097426095,0.2814951937773853,0.06064671716313984,0.08398152236676744,0.14011072993444515,0.06995346625454299,0.3638123705037193,stable_core,3
внутригородская территория города федерального значения муниципальный округ Марьина роща,2024-12-01,68655,2.2341977522131953,0.29346733668341707,0.05486854562668415,0.07636734396620785,0.14711237346151046,0.06365159128978225,0.36453280897239815,stable_core,3
Дальнереченский муниципальный район,2023-01-01,19510,-0.2382956073989646,0.4246540235776525,0.048539210661199386,0.017580727831881086,0.06652998462327012,0.10656073808303435,0.3361353152229626,boundary,2
Дальнереченский муниципальный район,2023-02-01,19943,-0.41208810291707737,0.4061074061074061,0.0545554831269117,0.01368901368901369,0.06944792659078373,0.08007822293536579,0.376121947550519,boundary,2
Дальнереченский муниципальный район,2023-03-01,19723,-0.7437725593787781,0.41763423414287887,0.03052273994828373,0.01267555645692846,0.0717943517720428,0.06018354205749633,0.4071895756223698,boundary,2
Дальнереченский муниципальный район,2023-04-01,18218,-0.6597553432088687,0.42902623778680427,0.04127785706444176,0.011197716544077287,0.05423207816445274,0.05708639806784499,0.40717971237237893,boundary,2
Дальнереченский муниципальный район,2023-05-01,17194,-0.9537166599005786,0.46952425264627196,0.033383738513434916,0.01273700127951611,0.05571711061998372,0.0736884959869722,0.354949400953821,boundary,6
Дальнереченский муниципальный район,2023-06-01,19518,-0.5429513966791768,0.4428732452095502,0.0316118454759709,0.06778358438364586,0.04283225740342248,0.060252075007685216,0.3546469925197253,boundary,6
Дальнереченский муниципальный район,2023-07-01,21733,-0.3267293136025455,0.4541480697556711,0.035199926379238945,0.0760594487645516,0.05498550591266737,0.06593659411954171,0.31367045506832925,boundary,6
Дальнереченский муниципальный район,2023-08-01,21578,-0.36636344152512523,0.4253406247103531,0.03457224951339327,0.08156455649272407,0.054592640652516455,0.06928352952080823,0.3346463991102049,boundary,6
Дальнереченский муниципальный район,2023-09-01,22208,-0.04850139675830969,0.38625720461095103,0.0390850144092219,0.0926693083573487,0.0568713976945245,0.0669128242074928,0.358204250720461,boundary,6
Дальнереченский муниципальный район,2023-10-01,22003,-0.18078629748671224,0.4277598509294187,0.040721719765486525,0.0840339953642685,0.06430941235286097,0.06580920783529519,0.31736581375267003,boundary,6
Дальнереченский муниципальный район,2023-11-01,23224,-0.07996218418115528,0.3878315535652773,0.04646055804340338,0.07535308301756803,0.08861522562866,0.06359800206682742,0.3381415776782639,boundary,6
Дальнереченский муниципальный район,2023-12-01,28058,-0.046843400876587435,0.43057238577232876,0.031898210848955735,0.05164302516216409,0.0846104497825932,0.06269156746738898,0.3385843609665692,boundary,7
Дальнереченский муниципальный район,2024-01-01,19964,-0.2995955757547869,0.40878581446603884,0.042426367461430574,0.06636946503706671,0.07578641554798637,0.0863053496293328,0.3203265878581447,boundary,7
Дальнереченский муниципальный район,2024-02-01,24422,0.005509445199924862,0.3814183932519859,0.032511669805912705,0.06776676766849563,0.08258946851199737,0.06543280648595529,0.37028089427565314,boundary,1
Дальнереченский муниципальный район,2024-03-01,26661,-0.03187153882302466,0.39132065563932333,0.040771163872322866,0.05956265706462623,0.08330520235550054,0.062113199054799145,0.3629271220134278,boundary,1
Дальнереченский муниципальный район,2024-04-01,25875,-0.059680521409945994,0.4136811594202899,0.03230917874396135,0.06303381642512078,0.08154589371980676,0.058473429951690824,0.3509565217391304,boundary,1
Дальнереченский муниципальный район,2024-05-01,24620,-0.25702840895448226,0.431072298943948,0.03505280259951259,0.0662063363119415,0.09557270511779041,0.061779041429731923,0.3103168155970757,boundary,1
Дальнереченский муниципальный район,2024-06-01,25644,-0.17529896805084946,0.4040321322726564,0.03201528622679769,0.06718920605209795,0.11098112618936204,0.05135704258306036,0.3344252066760255,boundary,1
Дальнереченский муниципальный район,2024-07-01,27344,-0.058664044157757236,0.43424517261556467,0.03221913399648917,0.06933879461673494,0.10565389116442364,0.05833089526038619,0.3002121123464013,boundary,1
Дальнереченский муниципальный район,2024-08-01,26848,-0.15387809603696856,0.41336412395709177,0.02774880810488677,0.055385876042908226,0.10026817640047676,0.06030244338498212,0.3429305721096543,boundary,1
Дальнереченский муниципальный район,2024-09-01,23776,-0.284737232241945,0.3997308209959623,0.03406796769851952,0.05484522207267833,0.12344380888290714,0.06031292059219381,0.32759925975773885,boundary,1
Дальнереченский муниципальный район,2024-10-01,25120,-0.2854738661051818,0.40338375796178344,0.03789808917197452,0.04836783439490446,0.14777070063694267,0.060788216560509555,0.3017914012738854,boundary,10
Дальнереченский муниципальный район,2024-11-01,26806,-0.0761678855777416,0.36144892934417666,0.03256733567111841,0.042303961799597105,0.17749757516973813,0.05722599418040737,0.32895620383496227,boundary,10
Дальнереченский муниципальный район,2024-12-01,30540,-0.21446695687964787,0.37678454485920104,0.029993451211525867,0.03628028814669286,0.16299934512115258,0.06699410609037328,0.3269482645710544,boundary,10
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-01-01,35094,1.9567146985050663,0.3658460135635721,0.06320168689804526,0.0719496210178378,0.09058528523394313,0.0736023251837921,0.3348150681028096,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-02-01,36401,1.9247431302018918,0.3629570616191863,0.06431142001593362,0.06920139556605588,0.09738743441114255,0.07128925029532156,0.33485343809236023,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-03-01,40127,1.870620669131379,0.36040571186482917,0.06424601889002417,0.06967876990554987,0.10005731801530142,0.06843272609464948,0.3371794552296459,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-04-01,39180,1.920343197120295,0.35719754977029095,0.0605666156202144,0.0709800918836141,0.09765186319550791,0.07383869321082184,0.3397651863195509,context_candidate_unverified,9
