month,ARI,NMI,K,mode,seed,louvain_seed,gamma,adjacent_ARI,adjacent_NMI,same_label_share
2023-01-01,0.44913053735746045,0.6748995140062378,5,resolution,0,0,0.25,,,
2023-02-01,0.44913053735746045,0.6748995140062378,5,resolution,0,0,0.25,1.0,1.0,1.0
2023-03-01,0.4631325043576183,0.6796230031745016,5,resolution,0,0,0.25,0.966984578613858,0.937030490327396,0.9879201680672269
2023-04-01,0.4908987173079232,0.6968036894705772,5,resolution,0,0,0.25,0.9572798726289535,0.9146641656088963,0.9837184873949579
2023-05-01,0.5122083295190338,0.7003673625634617,5,resolution,0,0,0.25,0.9578966236955148,0.9130681396819607,0.9816176470588235
2023-06-01,0.504290397221351,0.6914265120375755,5,resolution,0,0,0.25,0.9622514281230415,0.9337129940189736,0.9858193277310925
2023-07-01,0.4656335356273095,0.6715868990581925,6,resolution,0,0,0.25,0.9821502659822985,0.9648422677612277,0.993172268907563
2023-08-01,0.41305441297246265,0.6460677463615684,6,resolution,0,0,0.25,0.9662946311468884,0.9456731064170504,0.9863445378151261
2023-09-01,0.3738708171057695,0.6114764457925166,6,resolution,0,0,0.25,0.865596529434163,0.8847192906969394,0.9427521008403361
2023-10-01,0.33539072859074776,0.5679455936353837,6,resolution,0,0,0.25,0.6710926886256423,0.7949743348926214,0.8508403361344538
2023-11-01,0.32106178698671034,0.553839888617927,6,resolution,0,0,0.25,0.5186606420306106,0.7433906974026173,0.7809873949579832
2023-12-01,0.32018581430106474,0.5727519840607675,6,resolution,0,0,0.25,0.6763066082714307,0.7802613451345719,0.8492647058823529
2024-01-01,0.2977502806278485,0.5701767225866444,6,resolution,0,0,0.25,0.8752844943155388,0.863524726774853,0.944327731092437
2024-02-01,0.3613244804447159,0.5921236971065229,6,resolution,0,0,0.25,0.9392462272300311,0.9128453106401468,0.9742647058823529
2024-03-01,0.46726363278019534,0.6170469830500059,6,resolution,0,0,0.25,0.964830536891283,0.9331816936538708,0.9842436974789915
2024-04-01,0.6256319357155051,0.6628742116529772,6,resolution,0,0,0.25,0.9670791831414062,0.9444426185538627,0.9863445378151261
2024-05-01,0.7646729399879325,0.7076894575355666,7,resolution,0,0,0.25,0.9706908952701084,0.9367229418629267,0.9852941176470589
2024-06-01,0.8025352181562083,0.7074133971471928,7,resolution,0,0,0.25,0.9593316051924075,0.9175143709351036,0.979516806722689
2024-07-01,0.7937027790755979,0.7077344543643286,7,resolution,0,0,0.25,0.9762914777618746,0.9449229962014672,0.9873949579831933
